ticker_symbol,co_name,unique_earnings_code,factset_sector_num,factset_ind_num,calendar_qtr,fiscal_qtr,adtv_prev_month,report_date,report_day_of week,qtr_end_date,pre_rpt_recent_eps_est,1m_ago_eps_est,3m_ago_eps_est,qtr_end_eps_ntm,qtr_end_sh_px,pre_rpt_eps_ntm,pre_rpt_sh_px,3m_ago_eps_ntm,3m_ago_sh_px,lt_mome_F,3m_mome_F,1m_mome_F,mkt_12-1m_rtn,mkt_3m_rtn,mkt_1m_rtn,pre_rpt_si_days_F,1m_ago_si_days,3m_ago_si_days,pre_rpt_si_pct_F,1m_ago_si_pct,3m_ago_si_pct,pre_rpt_tgt_px,tgt_px_3m_ago,pre_rpt_an_rtg_F,an_rtg_3m_ago,pre_rpt_an_rtg_sd_F,sales_fy-1,sales_fy0,sales_fy1,qtr_end_eps_yld,eps_yld_F,3m_ago_eps_yld,mult_exp_F,rel_lt_mome_F,rel_3m_mome_F,rel_1m_mome_F,si_days_1m_delta_F,si_days_3m_delta_F,si_pct_1m_delta_F,si_pct_3m_delta_F,3m_delta_an_rtg_F,pre_rpt_rtn_to_tgt_F,3m_delta_tgt_px_F,1m_est_delta_F,3m_est_delta_F,proj_2yr_rev_gr_F,t-1,t+3,t-7,t-364,t-28,t-35,t-91
BHC,Bausch Health Companies Inc.,BHC.1Q17,2300,2310,1Q17,2017/1F,259.3,05/09/2017,2,3/31/2017,0.93,0.91,1.08,4.066,11.03,4.026,10.31,5.021,14.25,-65.782875,-27.649122,1.376605,13.456202,4.080963,1.3783574,3.4,2.7,2.9,14.42328151,13.50983195,10.80037859,15.7,24.3,2.10,1.95,0.5616727,10446.5,9674,8802.664,0.369,0.390,0.352,-0.038,-79.239,-31.730,-0.002,0.286296931,0.20312607,0.067613688,0.335442216,0.14,52.62,54.36,2.262,-13.857,-15.73575839,5/8/2017,5/12/2017,5/2/2017,5/10/2016,4/11/2017,4/4/2017,2/7/2017
AAOI,"Applied Optoelectronics, Inc.",AAOI.1Q17,1300,1320,1Q17,2017/1F,45.2,05/05/2017,5,3/31/2017,0.98,0.83,0.38,3.518,56.15,3.985,49.39,2.055,32.6,323.10605,51.503075,-12.039185,14.898849,3.5226703,0.8963704,2.2,2.0,3.5,36.30362024,22.2771575,12.82163026,63.3,33.8,1.17,1.17,0.4082483,189.903,260.713,400.28217,0.063,0.081,0.063,-0.018,308.207,47.980,-12.936,0.073405139,-0.378021889,0.629634312,1.831435589,0.00,28.23,-46.58,17.435,154.783,110.7824363,5/4/2017,5/10/2017,4/28/2017,5/6/2016,4/7/2017,3/31/2017,2/3/2017
CRC,California Resources Corp,CRC.1Q17,2100,2105,1Q17,2017/1F,29.8,05/05/2017,5,3/31/2017,-1.24,-1.04,-0.74,-2.239,15.04,-2.929,11.7,-2.083,21.79,-15.89595,-46.30565,-22.207445,14.898849,3.5226703,0.8963704,6.1,6.3,8.9,33.34196991,33.65597978,30.34211298,16.4,19.1,2.06,2.06,0.39086798,2403,1547,2064.475,-0.149,-0.250,-0.096,0.155,-30.795,-49.828,-23.104,-0.040581592,-0.321067449,-0.009329988,0.098867766,0.00,40.42,16.52,18.878,67.761,-14.08759883,5/4/2017,5/10/2017,4/28/2017,5/6/2016,4/7/2017,3/31/2017,2/3/2017
TGI,"Triumph Group, Inc.",TGI.1Q17,1300,1330,1Q17,2016/4F,21.7,05/24/2017,3,3/31/2017,1.49,1.44,1.51,4.108,25.75,4.041,22.8,4.160,26.4,-29.460032,-13.636362,-12.307697,14.766407,-0.5666256,0.64542294,14.4,9.8,7.6,17.37683469,15.55491981,12.20700046,30.8,30.3,1.79,1.86,0.61124986,3888.72,3886.07,3540.7175,0.160,0.177,0.158,-0.020,-44.226,-13.070,-12.953,0.47515717,0.901755489,0.117127886,0.423513889,-0.07,35.12,-1.54,3.571,-1.193,-8.949024358,5/23/2017,5/29/2017,5/17/2017,5/25/2016,4/26/2017,4/19/2017,2/22/2017
NVDA,NVIDIA Corporation,NVDA.1Q17,1300,1305,1Q17,2017/1F,"1,820.7",05/10/2017,3,3/31/2017,0.67,0.66,0.64,2.888,108.93,2.937,104.25,2.767,118.61,169.85579,-12.106907,4.2187333,14.031816,3.84624,1.5817046,3.0,1.7,2.9,5.328248786,4.628246046,7.118787109,115.5,104.6,1.64,1.58,0.71344864,5010,6910,8062.2534,0.027,0.028,0.023,-0.005,155.824,-15.953,2.637,0.836547749,0.044459935,0.151245792,-0.251522948,0.06,10.76,-9.42,1.473,4.739,60.92322156,5/9/2017,5/15/2017,5/3/2017,5/11/2016,4/12/2017,4/5/2017,2/8/2017
GIII,"G-III Apparel Group, Ltd.",GIII.1Q17,2400,2440,1Q17,2017/1F,22.7,06/06/2017,2,3/31/2017,-0.39,-0.40,-0.03,1.113,21.89,1.210,19.77,1.522,24.11,-42.460968,-18.00083,-17.176373,13.637363,1.678443,0.68638325,13.8,13.8,21.0,24.46715965,25.83562451,21.77357948,26.5,30.1,1.67,1.57,0.5163978,2344.14,2386.43,2715.3318,0.051,0.061,0.063,0.002,-56.098,-19.679,-17.863,0,-0.344287137,-0.052968136,0.123708652,0.10,34.04,13.75,-1.681,1047.059,15.83488188,6/5/2017,6/9/2017,5/30/2017,6/7/2016,5/9/2017,5/2/2017,3/7/2017
TDOC,"Teladoc Health, Inc.",TDOC.1Q17,3350,3360,1Q17,2017/1F,18.5,05/09/2017,2,3/31/2017,-0.33,-0.34,-0.28,-0.759,25,-0.722,25,-0.678,20.5,109.745766,21.951221,0.40160418,13.456202,4.080963,1.3783574,32.6,14.4,7.7,33.53920373,34.53496582,30.32971519,27.8,23.0,1.13,1.00,0.31079078,77.384,123.157,182.75359,-0.030,-0.029,-0.033,-0.004,96.290,17.870,-0.977,1.268723167,3.240521622,-0.028833447,0.105819937,0.13,11.20,-17.27,-1.168,18.443,136.1645689,5/8/2017,5/12/2017,5/2/2017,5/10/2016,4/11/2017,4/4/2017,2/7/2017
SYNH,"Syneos Health, Inc. Class A",SYNH.1Q17,3350,3370,1Q17,2017/1F,33.1,05/10/2017,3,3/31/2017,0.60,0.59,0.68,2.744,45.85,2.772,40.9,2.960,52.45,-3.3528328,-22.020971,-7.5706186,14.031816,3.84624,1.5817046,4.6,1.5,2.7,6.848186452,2.975355548,1.781357339,50.9,56.3,1.54,1.42,0.49810246,914.74,1030.33,1060.0682,0.060,0.068,0.056,-0.011,-17.385,-25.867,-9.152,1.954718641,0.682760366,1.30163634,2.844364239,0.12,24.39,10.62,0.544,-12.489,15.88737783,5/9/2017,5/15/2017,5/3/2017,5/11/2016,4/12/2017,4/5/2017,2/8/2017
OLED,Universal Display Corporation,OLED.1Q17,1300,1310,1Q17,2017/1F,50.5,05/05/2017,5,3/31/2017,0.00,0.00,-0.01,1.619,86.1,1.693,89.35,1.372,64.9,51.289856,37.673344,3.7746787,14.898849,3.5226703,0.8963704,7.7,6.3,7.9,10.47750603,9.795536664,11.74040785,92.0,69.0,1.50,1.50,0.52704626,191.046,198.886,247.0264,0.019,0.019,0.021,0.002,36.391,34.151,2.878,0.225066842,-0.032270048,0.069620419,-0.10756882,0.00,2.97,-25.00,16.667,-72.222,29.30205291,5/4/2017,5/10/2017,4/28/2017,5/6/2016,4/7/2017,3/31/2017,2/3/2017
GRUB,"GrubHub, Inc.",GRUB.1Q17,3500,3550,1Q17,2017/1F,77.1,04/27/2017,4,3/31/2017,0.24,0.24,0.26,1.163,32.89,1.174,34.72,1.174,41.83,26.161469,-16.997374,3.6108732,14.488661,2.3680687,0.54380894,8.5,7.1,10.2,21.47518881,18.49006427,11.499219,43.5,44.2,1.35,1.39,0.56103873,361.825,493.331,644.1652,0.035,0.034,0.028,-0.006,11.673,-19.365,3.067,0.184038872,-0.168716619,0.16144479,0.867534553,-0.03,25.22,1.57,-0.320,-8.718,78.03225316,4/26/2017,5/2/2017,4/20/2017,4/28/2016,3/30/2017,3/23/2017,1/26/2017
