ticker_symbol,co_name,unique_earnings_code,factset_sector_num,factset_ind_num,calendar_qtr,fiscal_qtr,adtv_prev_month,report_date,rtn_t+3,eps_est,eps_actual,surp_amt,rev_surp%,report_day_of week,t-1,t+3,rtn_t+3_check,mkt_t+3_rtn,rel_t+3_rtn,num_ests_qtr_end,t-7,t-7_high_est,t-7_low_est,est_spread,spread_adj_surp
TTD,"Trade Desk, Inc. Class A",TTD.1Q18,3200,3210,1Q18,2018/1F,50.5,05/11/2018,53.1,0.10,0.34,0.24,17.0,5,5/10/2018,5/16/2018,53.1,0.0,53.1,10,5/4/2018,0.13,0.07,0.06,4.010
OPK,"OPKO Health, Inc.",OPK.1Q18,2300,2320,1Q18,2018/1F,20.1,05/09/2018,48.4,-0.13,-0.08,0.05,7.6,3,5/8/2018,5/14/2018,48.4,2.1,46.4,5,5/2/2018,-0.10,-0.16,0.06,0.800
CONN,"Conn's, Inc.",CONN.1Q18,3500,3535,1Q18,2018/1F,12.3,06/07/2018,40.2,0.27,0.40,0.13,0.9,4,6/6/2018,6/12/2018,40.2,0.5,39.6,3,5/31/2018,0.30,0.24,0.06,2.208
GOOS,"Canada Goose Holdings, Inc.",GOOS.1Q18,2400,2440,1Q18,2017/4F,38.0,06/15/2018,39.6,-0.07,0.07,0.13,56.3,5,6/14/2018,6/20/2018,39.6,-0.4,40.0,12,6/8/2018,-0.02,-0.12,0.10,1.302
RH,RH,RH.1Q18,3500,3540,1Q18,2018/1F,100.1,06/12/2018,35.5,1.01,1.33,0.32,-1.0,2,6/11/2018,6/15/2018,35.5,-0.1,35.6,21,6/5/2018,1.05,0.94,0.11,2.835
SMCI,"Super Micro Computer, Inc.",SMCI.1Q18,1300,1352,1Q18,2018/3F,10.5,05/04/2018,33.0,0.36,0.50,0.14,6.9,5,5/3/2018,5/9/2018,33.0,2.6,30.3,4,4/27/2018,0.44,0.28,0.16,0.875
P,"Pandora Media, Inc.",P.1Q18,3300,3320,1Q18,2018/1F,51.9,05/04/2018,30.4,-0.38,-0.27,0.11,4.9,5,5/3/2018,5/9/2018,30.4,2.6,27.8,27,4/27/2018,-0.27,-0.66,0.39,0.282
ARCB,ArcBest Corporation,ARCB.1Q18,4600,4615,1Q18,2018/1F,11.4,05/11/2018,30.0,-0.07,0.29,0.36,1.5,5,5/10/2018,5/16/2018,30.0,0.0,30.0,10,5/4/2018,0.03,-0.13,0.16,2.279
THC,Tenet Healthcare Corporation,THC.1Q18,3350,3360,1Q18,2018/1F,50.1,05/01/2018,30.0,-0.04,0.57,0.61,2.6,2,4/30/2018,5/4/2018,30.0,0.7,29.3,17,4/24/2018,0.04,-0.53,0.57,1.072
FTR,Frontier Communications Corporation Class B,FTR.1Q18,4900,4910,1Q18,2018/1F,24.6,05/02/2018,29.6,-0.93,-0.58,0.35,0.5,3,5/1/2018,5/7/2018,29.6,0.8,28.8,14,4/25/2018,-0.12,-1.41,1.29,0.274
