ticker_symbol,co_name,unique_earnings_code,factset_sector_num,factset_ind_num,calendar_qtr,fiscal_qtr,adtv_prev_month,report_date,report_day_of week,qtr_end_date,pre_rpt_recent_eps_est,1m_ago_eps_est,3m_ago_eps_est,qtr_end_eps_ntm,qtr_end_sh_px,pre_rpt_eps_ntm,pre_rpt_sh_px,3m_ago_eps_ntm,3m_ago_sh_px,lt_mome_F,3m_mome_F,1m_mome_F,mkt_12-1m_rtn,mkt_3m_rtn,mkt_1m_rtn,pre_rpt_si_days_F,1m_ago_si_days,3m_ago_si_days,pre_rpt_si_pct_F,1m_ago_si_pct,3m_ago_si_pct,pre_rpt_tgt_px,tgt_px_3m_ago,pre_rpt_an_rtg_F,an_rtg_3m_ago,pre_rpt_an_rtg_sd_F,sales_fy-1,sales_fy0,sales_fy1,qtr_end_eps_yld,eps_yld_F,3m_ago_eps_yld,mult_exp_F,rel_lt_mome_F,rel_3m_mome_F,rel_1m_mome_F,si_days_1m_delta_F,si_days_3m_delta_F,si_pct_1m_delta_F,si_pct_3m_delta_F,3m_delta_an_rtg_F,pre_rpt_rtn_to_tgt_F,3m_delta_tgt_px_F,1m_est_delta_F,3m_est_delta_F,proj_2yr_rev_gr_F,t-1,t+3,t-7,t-364,t-28,t-35,t-91
FOSL,"Fossil Group, Inc.",FOSL.4Q17,1400,1445,4Q17,2017/4F,15.8,02/14/2018,3,12/31/2017,0.38,0.37,0.36,-0.172,7.77,-0.133,8.83,-0.189,7.16,-52.104725,23.324024,7.0302963,18.65599,4.3747306,-2.5297463,7.5,10.4,11.0,44.03015647,42.14051748,41.69889694,6.4,6.4,2.25,2.18,0.6346478,3228.8,3042.4,2755.3933,-0.022,-0.015,-0.026,-0.011,-70.761,18.949,9.560,-0.276757186,-0.318888496,0.044841381,0.055906983,0.07,-27.20,0.25,0.713,5.949,-14.66200136,2/13/2018,2/19/2018,2/7/2018,2/15/2017,1/17/2018,1/10/2018,11/15/2017
VIRT,"Virtu Financial, Inc. Class A",VIRT.4Q17,4800,4840,4Q17,2017/4F,10.0,02/08/2018,4,12/31/2017,0.11,0.11,0.12,0.969,18.3,1.094,19.75,0.904,16.45,0,20.06079,6.4690113,19.349611,9.005392,3.4005284,22.4,21.1,8.0,15.41065562,15.4245341,15.18442473,19.1,16.9,1.86,1.86,0.69006556,511.2526,423.298,520.2434,0.053,0.055,0.055,0.000,-19.350,11.055,3.068,0.063133536,1.798023452,-0.000899766,0.014898878,0.00,-3.44,-11.61,-1.430,-2.141,1.758582744,2/7/2018,2/13/2018,2/1/2018,2/9/2017,1/11/2018,1/4/2018,11/9/2017
AAXN,Axon Enterprise Inc,AAXN.4Q17,1300,1330,4Q17,2017/4F,17.1,02/28/2018,3,12/31/2017,-0.03,-0.03,-0.02,0.249,26.5,0.297,28.1,0.234,24.97,8.709944,12.535048,3.2708645,17.161644,2.524209,-4.802579,35.3,42.9,18.6,32.58393591,34.09224745,35.3922037,31.8,30.4,1.36,1.31,0.47559488,197.892,268.245,339.199,0.009,0.011,0.009,-0.001,-8.452,10.011,8.073,-0.176170527,0.901178442,-0.044242068,-0.079347074,0.04,13.17,-4.40,10.291,41.176,71.40612051,2/27/2018,3/5/2018,2/21/2018,3/1/2017,1/31/2018,1/24/2018,11/29/2017
INFN,Infinera Corporation,INFN.4Q17,1300,1320,4Q17,2017/4F,12.3,02/08/2018,4,12/31/2017,-0.13,-0.13,-0.13,-0.191,6.33,-0.167,6.52,-0.239,6.365,-24.680847,2.4351954,-6.1870456,19.349611,9.005392,3.4005284,13.4,13.1,20.4,10.24354768,11.81106606,13.45466741,9.3,9.8,1.56,1.53,0.5123475,886.714,870.135,735.0835,-0.030,-0.026,-0.038,-0.012,-44.030,-6.570,-9.588,0.024308057,-0.340079486,-0.132716079,-0.238662141,0.03,42.15,5.56,1.169,0.796,-17.10027134,2/7/2018,2/13/2018,2/1/2018,2/9/2017,1/11/2018,1/4/2018,11/9/2017
GES,"Guess?, Inc.",GES.4Q17,2400,2440,4Q17,2017/4F,21.0,03/22/2018,4,12/31/2017,0.55,0.53,0.53,0.810,16.88,0.880,15.01,0.806,17.91,35.59011,-16.192066,-2.973497,14.888132,2.2271276,0.69800615,6.8,14.4,4.7,15.09411293,15.54399344,17.24378317,17.1,16.6,1.71,1.86,0.48795003,2204.31,2209.36,2342.905,0.048,0.059,0.045,-0.014,20.702,-18.419,-3.672,-0.53242648,0.446118656,-0.028942402,-0.124663493,-0.14,13.92,-3.16,3.145,3.145,6.287455031,3/21/2018,3/27/2018,3/15/2018,3/23/2017,2/22/2018,2/15/2018,12/21/2017
SFLY,"Shutterfly, Inc.",SFLY.4Q17,3200,3205,4Q17,2017/4F,29.3,01/31/2018,3,12/31/2017,2.87,2.84,2.84,1.403,49.75,1.486,51.9,1.230,41.97,-4.0370884,23.659754,5.9832573,18.48204,9.83007,5.6041718,11.9,14.0,4.7,18.63336835,19.02468017,17.09136272,53.0,51.8,1.71,1.57,0.75592893,1059.42,1134.22,1151.9033,0.028,0.029,0.029,0.001,-22.519,13.830,0.379,-0.149189123,1.53815423,-0.020568641,0.090221339,0.14,2.12,-2.26,1.225,1.225,8.729616205,1/30/2018,2/5/2018,1/24/2018,2/1/2017,1/3/2018,12/27/2017,11/1/2017
LITE,"Lumentum Holdings, Inc.",LITE.4Q17,1300,1320,4Q17,2018/2F,117.0,02/06/2018,2,12/31/2017,1.13,1.12,1.12,3.719,48.9,3.740,44.95,3.627,56,25.497509,-19.732141,-10.368896,19.410587,8.778393,4.440713,8.3,8.3,6.1,21.73266438,22.43101118,19.00097908,68.6,71.5,1.18,1.44,0.39295262,903,1001.6,1216.5183,0.076,0.083,0.065,-0.018,6.087,-28.511,-14.810,0,0.365431782,-0.031133095,0.143765502,-0.26,52.59,4.29,1.086,1.517,34.71963455,2/5/2018,2/9/2018,1/30/2018,2/7/2017,1/9/2018,1/2/2018,11/7/2017
SNAP,"Snap, Inc. Class A",SNAP.4Q17,3300,3320,4Q17,2017/4F,331.7,02/07/2018,3,12/31/2017,-0.31,-0.33,-0.33,-1.108,14.61,-1.094,13.52,-1.377,12.91,,4.725027,-11.691702,19.173681,8.617377,3.83569,7.4,9.4,6.2,27.57647801,24.08789467,21.38499082,12.3,13.2,2.16,1.97,0.63906443,,404.42853,790.62744,-0.076,-0.081,-0.107,-0.026,,-3.892,-15.527,-0.215688102,0.190762373,0.144827242,0.289524894,0.19,-8.73,6.95,-5.692,-7.007,,2/6/2018,2/12/2018,1/31/2018,2/8/2017,1/10/2018,1/3/2018,11/8/2017
SEDG,"SolarEdge Technologies, Inc.",SEDG.4Q17,1300,1305,4Q17,2017/4F,25.1,02/15/2018,4,12/31/2017,0.66,0.57,0.57,2.000,37.55,1.997,32.25,2.064,37.75,143.686,-14.569539,-13.999998,18.529152,-0.3365636,-6.861663,4.6,8.1,5.6,8.838840891,8.553998539,9.425839657,39.9,39.5,1.36,1.27,0.6741999,325.0945,489.843,598.4494,0.053,0.062,0.055,-0.007,125.157,-14.233,-7.138,-0.432126164,-0.184296952,0.033299322,-0.062275488,0.09,23.72,-1.00,15.019,14.912,84.08475074,2/14/2018,2/20/2018,2/8/2018,2/16/2017,1/18/2018,1/11/2018,11/16/2017
CSRA,"CSRA, Inc.",CSRA.4Q17,3300,3308,4Q17,2017/3F,32.7,02/08/2018,4,12/31/2017,0.48,0.47,0.47,2.027,29.92,2.223,33.69,2.018,29.03,5.0719976,16.052353,9.347618,19.349611,9.005392,3.4005284,4.1,3.9,3.6,1.871364088,2.058684759,1.754671633,36.9,36.0,1.46,1.42,0.627878,5198,4993,5142.3174,0.068,0.066,0.070,0.004,-14.278,7.047,5.947,0.073611754,0.147455471,-0.090990459,0.06650387,0.04,9.58,-2.48,2.979,3.617,-1.071231243,2/7/2018,2/13/2018,2/1/2018,2/9/2017,1/11/2018,1/4/2018,11/9/2017
