ticker_symbol,co_name,unique_earnings_code,factset_sector_num,factset_ind_num,calendar_qtr,fiscal_qtr,adtv_prev_month,report_date,report_day_of week,qtr_end_date,year_earlier,6m_earlier,3m_earlier,pre_rpt_recent_eps_est,1m_ago_eps_est,3m_ago_eps_est,1y_rtn_qtr_end,6m_rtn_qtr_end,3m_rtn_qtr_end,qtr_end_eps_ntm,qtr_end_sh_px,pre_rpt_eps_ntm,pre_rpt_sh_px,3m_ago_eps_ntm,3m_ago_sh_px,lt_mome_F,3m_mome_F,1m_mome_F,mkt_12-1m_rtn,mkt_3m_rtn,mkt_1m_rtn,pre_rpt_si_days_F,1m_ago_si_days,3m_ago_si_days,pre_rpt_si_pct_F,1m_ago_si_pct,3m_ago_si_pct,pre_rpt_tgt_px,tgt_px_3m_ago,pre_rpt_an_rtg_F,an_rtg_3m_ago,pre_rpt_an_rtg_sd_F,sales_fy-1,sales_fy0,sales_fy1,qtr_end_eps_yld,eps_yld_F,3m_ago_eps_yld,mult_exp_F,rel_lt_mome_F,rel_3m_mome_F,rel_1m_mome_F,si_days_1m_delta_F,si_days_3m_delta_F,si_pct_1m_delta_F,si_pct_3m_delta_F,3m_delta_an_rtg_F,pre_rpt_rtn_to_tgt_F,3m_delta_tgt_px_F,1m_est_delta_F,3m_est_delta_F,proj_2yr_rev_gr_F,t-1,t+3,t-7,t-364,t-28,t-35,t-91
RAMP,"LiveRamp Holdings, Inc.",RAMP.1Q14,3300,3305,1Q14,2013/4F,14.4,05/15/2014,4,3/31/2014,3/31/2013,9/30/2013,12/31/2013,0.20,0.20,0.19,68.60,21.15,-6.99,0.870,34.395,0.887,26.65,0.879,36.79,46.508385,-27.561838,-12.421953,13.171375,2.2084594,2.0679712,4.0,4.7,2.7,3.089348811,2.922746156,2.63475268,35.7,37.3,1.75,1.60,0.9574271,1130.62,1099.35,1097.31,0.025,0.033,0.024,-0.009,33.337,-29.770,-14.490,-0.144061725,0.496135603,0.057002095,0.172538445,0.15,33.83,4.44,1.266,7.527,-2.946171127,5/14/2014,5/20/2014,5/8/2014,5/16/2013,4/17/2014,4/10/2014,2/13/2014
AMBC,"Ambac Financial Group, Inc.",AMBC.1Q14,4800,4875,1Q14,2014/1F,17.6,05/13/2014,2,3/31/2014,3/31/2013,9/30/2013,12/31/2013,1.01,0.95,0.89,,71.06,26.34,3.768,31.03,3.759,29.41,3.910,24.04,24.605953,22.33777,1.1000276,11.81159,2.5127769,0.63967705,8.0,6.4,6.0,10.35814184,9.635782332,8.770649354,21.0,21.0,2.50,1.50,0.70710677,414.604,213.518,302.87,0.121,0.128,0.163,0.035,12.794,19.825,0.460,0.242877469,0.341239695,0.074966358,0.181000565,1.00,-28.60,0.00,6.316,13.483,-26.94957116,5/12/2014,5/16/2014,5/6/2014,5/14/2013,4/15/2014,4/8/2014,2/11/2014
TCO,"Taubman Centers, Inc.",TCO.1Q14,4800,4890,1Q14,2014/1F,37.3,04/25/2014,5,3/31/2014,3/31/2013,9/30/2013,12/31/2013,0.39,0.40,0.40,-8.85,5.17,10.75,1.828,70.79,1.830,72.05,1.831,64.77,-15.308338,11.2397785,3.9982796,17.842997,3.9620996,-0.3614366,3.0,2.2,2.5,2.519478649,2.15038641,2.189268922,73.8,73.8,1.84,1.84,0.35207716,747.974,767.154,730.38257,0.026,0.025,0.028,0.003,-33.151,7.278,4.360,0.352542834,0.223014804,0.171639961,0.150831049,0.00,2.49,-0.10,-2.722,-3.706,-2.351877204,4/24/2014,4/30/2014,4/18/2014,4/26/2013,3/28/2014,3/21/2014,1/24/2014
WRI,Weingarten Realty Investors,WRI.1Q14,4800,4890,1Q14,2014/1F,25.3,04/25/2014,5,3/31/2014,3/31/2013,9/30/2013,12/31/2013,0.14,0.14,0.17,-4.91,2.28,9.41,0.616,30,0.620,30.78,0.675,28.65,-10.011953,7.434559,3.5317898,17.842997,3.9620996,-0.3614366,15.1,10.7,13.2,9.63960451,8.404946219,9.224070852,32.4,31.9,1.73,1.77,0.56273144,503.538,497.725,505.9517,0.021,0.020,0.024,0.003,-27.855,3.472,3.893,0.408228068,0.142543808,0.146896632,0.045048836,-0.03,5.15,-1.40,0.000,-15.618,0.479348133,4/24/2014,4/30/2014,4/18/2014,4/26/2013,3/28/2014,3/21/2014,1/24/2014
LF,"LeapFrog Enterprises, Inc. Class A",LF.1Q14,1400,1435,1Q14,2013/4F,6.4,02/13/2014,4,3/31/2014,3/31/2013,9/30/2013,12/31/2013,0.14,0.13,0.13,-12.38,-20.38,-5.54,0.208,7.5,0.521,7,0.505,8.17,-14.006514,-14.3206835,-8.735334,21.55062,-0.9940326,-3.5497963,10.7,11.1,11.7,30.83410931,28.21781125,34.23423056,9.3,9.3,1.67,1.67,0.5,455.14,581.288,583.5,0.028,0.074,0.062,-0.013,-35.557,-13.327,-5.186,-0.033547517,-0.081679395,0.092717966,-0.099319342,0.00,32.14,0.90,7.692,7.692,28.20231138,2/12/2014,2/18/2014,2/6/2014,2/14/2013,1/16/2014,1/9/2014,11/14/2013
SNX,SYNNEX Corporation,SNX.1Q14,3250,3265,1Q14,2014/1F,17.4,04/04/2014,5,3/31/2014,3/31/2013,9/30/2013,12/31/2013,0.95,0.94,1.03,63.81,-1.37,-10.07,5.022,60.61,5.017,58.7,4.706,63.82,74.13841,-8.022565,-1.3113618,21.504438,1.4097571,-0.23421645,5.1,5.1,3.5,2.781864531,2.601460095,1.409417706,68.0,64.3,1.65,1.85,0.47434166,10285.5,10845.1,12385.033,0.083,0.085,0.074,-0.012,52.634,-9.432,-1.077,0,0.457639019,0.069347378,0.973768684,-0.20,15.84,-5.39,1.198,-7.997,20.41255165,4/3/2014,4/9/2014,3/28/2014,4/5/2013,3/7/2014,2/28/2014,1/3/2014
KFN,KKR Financial Holdings LLC,KFN.1Q14,4800,4890,1Q14,2014/1F,14.1,04/24/2014,4,3/31/2014,3/31/2013,9/30/2013,12/31/2013,,0.24,0.24,4.52,12.00,-5.09,0.996,11.57,0.996,11.74,1.045,13.05,6.3789845,-10.038317,-1.0118008,17.040384,1.7471671,-0.6389022,0.5,1.5,0.3,0.359973299,0.374245468,0.869877364,12.5,12.1,2.00,1.83,0,555.473,545.906,568.7,0.086,0.085,0.080,-0.005,-10.661,-11.785,-0.373,-0.658027066,0.587620983,-0.038135849,-0.586179254,0.17,6.47,-3.60,0.000,0.000,2.381213848,4/23/2014,4/29/2014,4/17/2014,4/25/2013,3/27/2014,3/20/2014,1/23/2014
AIV,Apartment Investment and Management Company Class A,AIV.1Q14,4800,4890,1Q14,2014/1F,62.7,05/02/2014,5,3/31/2014,3/31/2013,9/30/2013,12/31/2013,0.07,0.05,0.08,-1.44,8.16,16.63,0.317,31.162865,0.322,31.379417,0.374,28.842667,-0.85358024,8.79513,1.6705632,15.974617,4.2675495,0.15672445,6.0,3.8,3.9,3.831741506,4.566364092,4.067849863,32.0,31.3,1.80,1.73,0.41403934,1033.19,974.053,981.037,0.010,0.010,0.013,0.003,-16.828,4.528,1.514,0.582349858,0.547657076,-0.160876919,-0.058042545,0.07,2.13,-2.40,43.314,-3.597,-5.04776469,5/1/2014,5/7/2014,4/25/2014,5/3/2013,4/4/2014,3/28/2014,1/31/2014
WTM,White Mountains Insurance Group Ltd,WTM.1Q14,4800,4855,1Q14,2014/1F,14.5,04/28/2014,1,3/31/2014,3/31/2013,9/30/2013,12/31/2013,7.08,5.76,6.16,5.78,5.69,-0.53,23.762,599.9,24.173,599.05,23.264,587.65,4.149306,1.9399285,2.4752736,18.03447,4.9194813,0.53430796,1.4,2.4,3.0,0.591469052,0.775814716,0.687812946,,,2.00,2.00,0,2063.6,1984.8,2074.5,0.040,0.040,0.040,-0.001,-13.885,-2.980,1.941,-0.435566749,-0.536487707,-0.237615581,-0.140072813,0.00,,,22.846,14.855,0.52820314,4/25/2014,5/1/2014,4/21/2014,4/29/2013,3/31/2014,3/24/2014,1/27/2014
MBI,MBIA Inc.,MBI.1Q14,4800,4875,1Q14,2014/1F,27.1,05/13/2014,2,3/31/2014,3/31/2013,9/30/2013,12/31/2013,,0.14,0.05,36.22,36.75,17.17,0.558,13.99,0.515,11.73,0.190,12.23,-21.761328,-4.0883064,-9.630203,11.81159,2.5127769,0.63967705,3.9,2.8,3.8,7.44317207,5.079527933,5.965887179,21.0,21.0,1.33,1.50,0.57735026,605,457,324.495,0.040,0.044,0.016,-0.028,-33.573,-6.601,-10.270,0.407214749,0.026648727,0.46532752,0.247621996,-0.17,79.03,0.00,0.000,0.000,-46.36446281,5/12/2014,5/16/2014,5/6/2014,5/14/2013,4/15/2014,4/8/2014,2/11/2014
