ticker_symbol,co_name,unique_earnings_code,factset_sector_num,factset_ind_num,calendar_qtr,fiscal_qtr,adtv_prev_month,report_date,report_day_of week,qtr_end_date,pre_rpt_recent_eps_est,1m_ago_eps_est,3m_ago_eps_est,qtr_end_eps_ntm,qtr_end_sh_px,pre_rpt_eps_ntm,pre_rpt_sh_px,3m_ago_eps_ntm,3m_ago_sh_px,lt_mome_F,3m_mome_F,1m_mome_F,mkt_12-1m_rtn,mkt_3m_rtn,mkt_1m_rtn,pre_rpt_si_days_F,1m_ago_si_days,3m_ago_si_days,pre_rpt_si_pct_F,1m_ago_si_pct,3m_ago_si_pct,pre_rpt_tgt_px,tgt_px_3m_ago,pre_rpt_an_rtg_F,an_rtg_3m_ago,pre_rpt_an_rtg_sd_F,sales_fy-1,sales_fy0,sales_fy1,qtr_end_eps_yld,eps_yld_F,3m_ago_eps_yld,mult_exp_F,rel_lt_mome_F,rel_3m_mome_F,rel_1m_mome_F,si_days_1m_delta_F,si_days_3m_delta_F,si_pct_1m_delta_F,si_pct_3m_delta_F,3m_delta_an_rtg_F,pre_rpt_rtn_to_tgt_F,3m_delta_tgt_px_F,1m_est_delta_F,3m_est_delta_F,proj_2yr_rev_gr_F,t-1,t+3,t-7,t-364,t-28,t-35,t-91
ASRT,"Assertio Therapeutics, Inc.",ASRT.3Q17,2300,2305,3Q17,2017/3F,12.8,11/08/2017,3,9/30/2017,0.15,0.12,0.12,0.673,5.79,0.612,5.17,0.651,6.02,-72.672066,-14.119601,-13.109237,18.238008,4.432678,1.5052676,9.8,8.0,6.9,17.61916257,17.06257201,16.9203056,7.6,9.6,2.00,2.00,0.57735026,342.735,455.897,396.91034,0.116,0.118,0.108,-0.010,-90.910,-18.552,-14.615,0.231447648,0.431862191,0.032620554,0.041302857,0.00,47.83,25.23,26.476,25.208,15.806772,11/7/2017,11/13/2017,11/1/2017,11/9/2016,10/11/2017,10/4/2017,8/9/2017
SKX,"Skechers U.S.A., Inc. Class A",SKX.3Q17,2400,2440,3Q17,2017/3F,59.0,10/20/2017,5,9/30/2017,0.43,0.44,0.44,1.866,25.09,1.879,24.35,1.795,28.5,30.76923,-14.561403,-7.730198,16.872478,3.2524467,2.3299932,2.8,4.5,4.2,5.405701645,5.614593775,7.18812191,32.5,32.4,1.35,1.29,0.47366548,3147.32,3563.31,4060.35,0.074,0.077,0.063,-0.014,13.897,-17.814,-10.060,-0.382802392,-0.327362102,-0.037205208,-0.247967451,0.05,33.26,-0.31,-1.124,-0.847,29.00976069,10/19/2017,10/25/2017,10/13/2017,10/21/2016,9/22/2017,9/15/2017,7/21/2017
NKTR,Nektar Therapeutics,NKTR.3Q17,2300,2320,3Q17,2017/3F,23.9,11/08/2017,3,9/30/2017,,0.17,0.04,-1.003,24,-1.013,23.37,-1.025,18.68,69.70588,25.107075,-6.1822534,18.238008,4.432678,1.5052676,10.1,10.4,7.6,7.625235234,8.213006565,7.489708718,27.1,27.2,1.13,1.00,0.35355338,230.784,165.436,220,-0.042,-0.043,-0.055,-0.012,51.468,20.674,-7.688,-0.030223905,0.328799789,-0.071565915,0.018095032,0.13,15.84,0.43,0.000,0.000,-4.67276761,11/7/2017,11/13/2017,11/1/2017,11/9/2016,10/11/2017,10/4/2017,8/9/2017
ANF,Abercrombie & Fitch Co. Class A,ANF.3Q17,3500,3525,3Q17,2017/3F,45.2,11/17/2017,5,9/30/2017,0.21,0.21,0.15,-0.002,14.44,0.006,12.56,-0.211,9.66,-5.7534275,30.020714,-3.9020598,17.608665,6.6420674,1.0020018,8.3,7.6,6.3,22.35460644,22.59147253,26.4643065,11.3,11.2,2.16,2.25,0.625,3518.68,3326.74,3325.9521,0.000,0.000,-0.022,-0.022,-23.362,23.379,-4.904,0.098946826,0.309295428,-0.010484757,-0.155292188,-0.09,-9.97,-0.83,-2.644,37.010,-5.477278411,11/16/2017,11/22/2017,11/10/2017,11/18/2016,10/20/2017,10/13/2017,8/18/2017
MBI,MBIA Inc.,MBI.3Q17,4800,4875,3Q17,2017/3F,20.2,11/08/2017,3,9/30/2017,0.09,0.09,0.11,0.097,8.7,0.203,7.28,-0.061,10.2,-14.096385,-28.627449,-8.427668,18.238008,4.432678,1.5052676,7.6,5.1,10.1,37.67163125,14.19101714,14.54540371,12.7,14.5,1.50,1.33,0.57735026,372,300,170.6,0.011,0.028,-0.006,-0.034,-32.334,-33.060,-9.933,0.492828036,-0.24401179,1.654611073,1.589933701,0.17,73.99,14.47,-3.571,-15.625,-54.13978495,11/7/2017,11/13/2017,11/1/2017,11/9/2016,10/11/2017,10/4/2017,8/9/2017
FNSR,Finisar Corporation,FNSR.3Q17,1300,1352,3Q17,2017/2F,68.0,12/08/2017,5,9/30/2017,0.30,0.31,0.32,1.672,22.17,1.620,19.26,1.678,20.95,-43.250526,-8.066827,-0.72164536,13.466394,7.673335,2.2369504,5.1,3.5,5.5,12.2532872,11.33237337,9.136863793,26.8,29.7,1.21,1.07,0.4258153,1263.16,1449.3,1372.706,0.075,0.084,0.080,-0.004,-56.717,-15.740,-2.959,0.443156582,-0.07595707,0.081263986,0.341082398,0.14,39.19,10.83,-2.127,-6.372,8.672377213,12/7/2017,12/13/2017,12/1/2017,12/9/2016,11/10/2017,11/3/2017,9/8/2017
HIBB,"Hibbett Sports, Inc.",HIBB.3Q17,3500,3540,3Q17,2017/3F,14.7,11/17/2017,5,9/30/2017,0.22,0.21,0.21,1.261,14.25,1.254,14,1.282,10.9,-65.09901,28.440369,6.060612,17.608665,6.6420674,1.0020018,8.0,4.8,2.3,19.17717982,19.8538902,17.49375181,11.1,11.0,2.09,2.14,0.4414215,943.104,972.96,929.8262,0.089,0.090,0.118,0.028,-82.708,21.798,5.059,0.682726652,2.44191907,-0.034084523,0.096230244,-0.05,-20.92,-0.65,2.233,2.515,-1.407882906,11/16/2017,11/22/2017,11/10/2017,11/18/2016,10/20/2017,10/13/2017,8/18/2017
BHC,Bausch Health Companies Inc.,BHC.3Q17,2300,2310,3Q17,2017/3F,194.7,11/07/2017,2,9/30/2017,0.91,0.91,0.91,3.562,14.33,3.536,11.69,3.632,15.64,-3.471291,-25.255758,-18.593317,19.48663,4.211509,1.4943361,3.9,4.4,2.4,13.318021,10.87779607,8.526576643,16.0,16.3,2.05,2.05,0.5958006,10446.5,9674,8683.107,0.249,0.303,0.232,-0.070,-22.958,-29.467,-20.088,-0.114314995,0.6288117,0.224330822,0.561942332,0.00,36.87,1.97,-0.768,-0.481,-16.88022783,11/6/2017,11/10/2017,10/31/2017,11/8/2016,10/10/2017,10/3/2017,8/8/2017
FL,"Foot Locker, Inc.",FL.3Q17,3500,3525,3Q17,2017/3F,202.7,11/17/2017,5,9/30/2017,0.79,0.81,0.83,4.006,35.22,3.931,30.34,4.115,34.38,-56.4224,-11.75102,-4.139018,17.608665,6.6420674,1.0020018,3.9,3.0,4.5,11.73031877,10.52713845,11.25989556,39.8,42.6,1.73,1.67,0.5716991,7412,7766,7711.186,0.114,0.130,0.120,-0.010,-74.031,-18.393,-5.141,0.3275998,-0.123528096,0.114293198,0.041778648,0.06,31.11,7.09,-2.219,-5.251,4.036508365,11/16/2017,11/22/2017,11/10/2017,11/18/2016,10/20/2017,10/13/2017,8/18/2017
TIME,"Time, Inc.",TIME.3Q17,3400,3425,3Q17,2017/3F,11.4,11/09/2017,4,9/30/2017,0.30,0.30,0.35,1.192,13.5,1.203,10.7,1.164,13.55,-1.5384614,-21.033215,-19.548876,17.740572,6.005144,0.9874463,7.1,6.3,6.6,5.332065877,5.754436712,5.599047804,15.0,15.2,1.67,1.80,0.5163978,3103,3076,2838.6426,0.088,0.112,0.086,-0.026,-19.279,-27.038,-20.536,0.114651903,0.065215881,-0.073399162,-0.047683452,-0.13,40.19,1.33,0.356,-13.448,-8.519413471,11/8/2017,11/14/2017,11/2/2017,11/10/2016,10/12/2017,10/5/2017,8/10/2017
