ticker_symbol,co_name,unique_earnings_code,factset_sector_num,factset_ind_num,calendar_qtr,fiscal_qtr,adtv_prev_month,report_date,report_day_of week,qtr_end_date,year_earlier,6m_earlier,3m_earlier,pre_rpt_recent_eps_est,1m_ago_eps_est,3m_ago_eps_est,1y_rtn_qtr_end,6m_rtn_qtr_end,3m_rtn_qtr_end,qtr_end_eps_ntm,qtr_end_sh_px,pre_rpt_eps_ntm,pre_rpt_sh_px,3m_ago_eps_ntm,3m_ago_sh_px,lt_mome_F,3m_mome_F,1m_mome_F,mkt_12-1m_rtn,mkt_3m_rtn,mkt_1m_rtn,pre_rpt_si_days_F,1m_ago_si_days,3m_ago_si_days,pre_rpt_si_pct_F,1m_ago_si_pct,3m_ago_si_pct,pre_rpt_tgt_px,tgt_px_3m_ago,pre_rpt_an_rtg_F,an_rtg_3m_ago,pre_rpt_an_rtg_sd_F,sales_fy-1,sales_fy0,sales_fy1,qtr_end_eps_yld,eps_yld_F,3m_ago_eps_yld,mult_exp_F,rel_lt_mome_F,rel_3m_mome_F,rel_1m_mome_F,si_days_1m_delta_F,si_days_3m_delta_F,si_pct_1m_delta_F,si_pct_3m_delta_F,3m_delta_an_rtg_F,pre_rpt_rtn_to_tgt_F,3m_delta_tgt_px_F,1m_est_delta_F,3m_est_delta_F,proj_2yr_rev_gr_F,t-1,t+3,t-7,t-364,t-28,t-35,t-91
PIR,"Pier 1 Imports, Inc.",PIR.4Q16,3500,3540,4Q16,2016/3F,15.9,12/15/2016,4,12/31/2016,12/31/2015,6/30/2016,9/30/2016,0.14,0.11,0.12,67.78,66.15,101.42,0.429,8.54,0.312,6.83,0.308,4.01,21.263159,70.32418,34.713997,8.038235,5.4018974,4.3359995,3.8,8.7,20.2,11.35038597,18.96452667,28.80616004,4.6,4.5,2.25,2.23,0.5490634,1865.78,1892.23,1812.7831,0.050,0.046,0.077,0.031,13.225,64.922,30.378,-0.564076545,-0.813507908,-0.401493843,-0.605973655,0.02,-33.38,-2.10,27.165,18.429,-2.840468866,12/14/2016,12/20/2016,12/8/2016,12/17/2015,11/17/2016,11/10/2016,9/15/2016
CYH,"Community Health Systems, Inc.",CYH.4Q16,3350,3360,4Q16,2016/4F,40.3,02/21/2017,2,12/31/2016,12/31/2015,6/30/2016,9/30/2016,0.17,0.20,0.16,-74.40,-53.61,-51.56,0.692,5.59,0.688,6.62,0.711,5.73,-45.976795,15.532279,-6.8917036,19.908106,6.064844,3.094685,6.9,7.8,2.7,20.43187985,20.48637482,23.45269519,6.0,6.6,2.13,2.07,0.42534816,18639,19606,18363.156,0.124,0.104,0.124,0.020,-65.885,9.467,-9.986,-0.112224852,1.512829877,-0.00266006,-0.128804614,0.05,-8.66,9.56,-16.078,6.746,-1.479929181,2/20/2017,2/24/2017,2/14/2017,2/23/2016,1/24/2017,1/17/2017,11/22/2016
AMD,"Advanced Micro Devices, Inc.",AMD.4Q16,1300,1305,4Q16,2016/4F,400.2,02/01/2017,3,12/31/2016,12/31/2015,6/30/2016,9/30/2016,-0.01,-0.01,-0.02,295.12,120.62,64.11,0.047,11.34,0.080,10.35,0.000,6.76,452.17395,53.10651,-10.389608,20.175802,10.307634,2.1641016,1.7,1.5,1.8,11.43693773,10.70963781,11.53988025,9.7,6.8,1.73,1.87,0.66679484,5506,3990,4237.3545,0.004,0.008,0.000,-0.008,431.998,42.799,-12.554,0.176798148,-0.054285115,0.067910787,-0.008920588,-0.13,-6.46,-30.25,-15.531,-35.362,-23.04114602,1/31/2017,2/6/2017,1/25/2017,2/3/2016,1/4/2017,12/28/2016,11/2/2016
ATI,Allegheny Technologies Incorporated,ATI.4Q16,1100,1105,4Q16,2016/4F,38.7,01/24/2017,2,12/31/2016,12/31/2015,6/30/2016,9/30/2016,-0.12,-0.11,0.00,41.60,24.94,-11.84,0.619,15.93,0.591,16.56,0.405,15.12,109.42211,9.523809,-4.1666746,20.517504,6.3372016,-0.279212,14.4,10.4,9.0,22.75615134,22.36723855,19.59032301,18.5,18.4,1.77,1.59,0.6067799,4223.4,3719.6,3132.993,0.039,0.036,0.027,-0.009,88.905,3.187,-3.887,0.381410249,0.606112394,0.017387609,0.16160164,0.18,11.98,-0.60,6.082,-3523.000,-25.81822702,1/23/2017,1/27/2017,1/17/2017,1/26/2016,12/27/2016,12/20/2016,10/25/2016
OLED,Universal Display Corporation,OLED.4Q16,1300,1310,4Q16,2016/4F,32.3,02/24/2017,5,12/31/2016,12/31/2015,6/30/2016,9/30/2016,0.44,0.44,0.42,3.42,-16.96,1.42,1.302,56.3,1.402,72.15,1.275,57.4,47.19254,25.696861,22.184599,18.834877,6.1023593,3.5099506,7.9,10.7,8.3,11.62726944,11.76872649,9.789678033,78.2,69.0,1.44,1.50,0.52704626,191.031,191.046,193.53767,0.023,0.019,0.022,0.003,28.358,19.595,18.675,-0.26023907,-0.039173192,-0.012019742,0.187707032,-0.06,8.39,-11.76,0.000,3.937,1.312179699,2/23/2017,3/1/2017,2/17/2017,2/26/2016,1/27/2017,1/20/2017,11/25/2016
CLF,Cleveland-Cliffs Inc,CLF.4Q16,1100,1105,4Q16,2016/4F,99.4,02/09/2017,4,12/31/2016,12/31/2015,6/30/2016,9/30/2016,0.27,0.21,0.20,432.28,48.32,43.76,0.685,8.41,0.849,9.2,0.413,7.4,415.1351,24.324322,5.5045843,25.452496,5.6045175,0.4062295,3.0,3.8,3.9,16.35715033,21.30425877,23.94339598,8.9,5.7,1.83,1.94,0.61237246,4623.7,2013.3,2035.548,0.081,0.092,0.056,-0.036,389.683,18.720,5.098,-0.207368711,-0.213112949,-0.232212183,-0.316840838,-0.11,-3.73,-35.48,27.456,36.634,-55.97577698,2/8/2017,2/14/2017,2/2/2017,2/11/2016,1/12/2017,1/5/2017,11/10/2016
GRPN,"Groupon, Inc.",GRPN.4Q16,3200,3210,4Q16,2016/4F,56.1,02/15/2017,3,12/31/2016,12/31/2015,6/30/2016,9/30/2016,0.03,0.03,0.03,8.14,2.15,-35.53,0.097,3.32,0.106,3.54,0.092,4.09,-7.3878646,-13.447439,1.1428595,19.138372,5.4324627,0.7411599,6.9,4.1,3.3,12.10394203,10.49925082,9.529058886,4.9,5.1,1.78,1.90,0.54831886,3191.68,3119.51,3127.3813,0.029,0.030,0.023,-0.007,-26.526,-18.880,0.402,0.662895941,1.054232089,0.15283864,0.270213793,-0.12,37.54,3.90,-8.450,6.149,-2.014572263,2/14/2017,2/20/2017,2/8/2017,2/17/2016,1/18/2017,1/11/2017,11/16/2016
INFN,Infinera Corporation,INFN.4Q16,1300,1320,4Q16,2016/4F,16.2,02/10/2017,5,12/31/2016,12/31/2015,6/30/2016,9/30/2016,-0.13,-0.13,-0.13,-53.15,-24.73,-5.98,-0.061,8.49,-0.056,9.37,0.007,8.51,-41.093117,10.105753,5.9954762,23.35093,6.4157844,0.91472864,8.8,7.9,3.9,8.231441139,7.604588836,7.659762173,9.0,9.0,1.83,1.81,0.51449573,668.079,886.714,865.2149,-0.007,-0.006,0.001,0.007,-64.444,3.690,5.081,0.110304666,1.244061055,0.082430795,0.074634036,0.02,-4.30,0.37,-1.425,-0.262,29.50787257,2/9/2017,2/15/2017,2/3/2017,2/12/2016,1/13/2017,1/6/2017,11/11/2016
KND,"Kindred Healthcare, Inc.",KND.4Q16,3350,3360,4Q16,2016/4F,11.1,02/28/2017,2,12/31/2016,12/31/2015,6/30/2016,9/30/2016,0.05,0.06,0.05,-34.09,-30.47,-23.19,0.607,7.85,0.641,7.75,0.623,7.05,-37.26415,9.929073,5.4421782,16.21101,7.240212,3.6626816,5.5,4.7,10.0,5.890879226,6.783125614,7.452720645,7.7,8.5,2.05,1.95,0.49721447,5027.59,7054.9,7238.56,0.077,0.083,0.088,0.006,-53.475,2.689,1.779,0.160705054,-0.451143569,-0.131539122,-0.209566613,0.10,-0.81,10.57,-19.462,2.390,43.97673637,2/27/2017,3/3/2017,2/21/2017,3/1/2016,1/31/2017,1/24/2017,11/29/2016
FRED,"Fred's, Inc. Class A",FRED.4Q16,3500,3520,4Q16,2016/4F,12.2,04/06/2017,4,12/31/2016,12/31/2015,6/30/2016,9/30/2016,-0.19,-0.18,-0.13,13.38,15.21,104.86,0.233,18.56,0.373,13.57,-0.003,17.94,2.9473662,-24.358976,-25.927948,16.365826,4.039204,-0.6396055,17.3,17.3,1.9,39.22100069,37.45234182,30.63306877,19.0,18.9,1.80,2.00,0.4472136,1970.04,2150.7,2126,0.013,0.028,0.000,-0.028,-13.418,-28.398,-25.288,0,7.906499922,0.047224253,0.280348403,-0.20,40.01,-0.53,5.164,43.590,7.916590526,4/5/2017,4/11/2017,3/30/2017,4/7/2016,3/9/2017,3/2/2017,1/5/2017
WIX,Wix.com Ltd.,WIX.4Q16,3300,3320,4Q16,2016/4F,14.8,02/15/2017,3,12/31/2016,12/31/2015,6/30/2016,9/30/2016,0.03,0.03,0.03,95.82,46.79,2.58,0.201,44.55,0.280,52.85,0.129,47.15,167.85715,12.089073,3.6274433,19.138372,5.4324627,0.7411599,3.3,4.0,4.1,3.101255438,2.82757164,4.324858085,55.6,55.6,1.21,1.21,0.39648074,141.841,203.518,287.791,0.005,0.005,0.003,-0.003,148.719,6.657,2.886,-0.18994047,-0.201745127,0.09679111,-0.28292319,0.00,5.17,0.00,-10.811,-10.811,102.8969057,2/14/2017,2/20/2017,2/8/2017,2/17/2016,1/18/2017,1/11/2017,11/16/2016
GCP,"GCP Applied Technologies, Inc.",GCP.4Q16,2200,2240,4Q16,2016/4F,12.2,03/02/2017,4,12/31/2016,12/31/2015,6/30/2016,9/30/2016,0.31,0.31,0.31,,2.73,-5.54,1.599,26.75,1.627,26.1,1.607,27.65,50.27777,-5.605781,-5.7761726,15.242588,7.727444,2.7810335,3.1,2.5,2.8,1.278831064,1.268631774,1.882054903,32.3,32.5,1.50,1.63,0.5,,1418.6,1355,0.060,0.062,0.058,-0.004,35.035,-13.333,-8.557,0.215877788,0.112429245,0.008039599,-0.320513412,-0.13,23.88,0.52,0.000,0.813,,3/1/2017,3/7/2017,2/23/2017,3/3/2016,2/2/2017,1/26/2017,12/1/2016
WTW,"Weight Watchers International, Inc.",WTW.4Q16,3400,3450,4Q16,2016/4F,13.2,03/01/2017,3,12/31/2016,12/31/2015,6/30/2016,9/30/2016,0.18,0.19,0.19,-49.78,-1.55,10.95,1.142,11.45,1.173,12.48,1.128,10.52,-2.6273966,18.631172,3.826952,15.686644,7.376361,2.6914954,11.7,4.8,23.8,31.99480824,32.17375079,24.37929759,20.3,20.5,1.75,1.58,0.75828755,1479.9,1164.4,1174.34,0.100,0.094,0.107,0.013,-18.314,11.255,1.135,1.417465266,-0.509301485,-0.005561756,0.312376131,0.17,62.26,1.23,-4.664,-4.062,-20.64734104,2/28/2017,3/6/2017,2/22/2017,3/2/2016,2/1/2017,1/25/2017,11/30/2016
LITE,"Lumentum Holdings, Inc.",LITE.4Q16,1300,1320,4Q16,2017/2F,38.2,02/08/2017,3,12/31/2016,12/31/2015,6/30/2016,9/30/2016,0.52,0.51,0.51,75.52,59.71,-7.47,2.186,38.65,2.222,38.1,2.138,36.5,52.48227,4.383552,1.3297915,24.227356,5.84352,0.19284487,3.8,6.0,2.7,5.908509298,6.60644901,5.1495369,45.1,44.7,1.50,1.50,0.8548504,834.5621,903,1066.6863,0.057,0.058,0.059,0.000,28.255,-1.460,1.137,-0.363607854,0.419366765,-0.105645213,0.147386534,0.00,18.36,-0.85,0.139,0.139,27.81389186,2/7/2017,2/13/2017,2/1/2017,2/10/2016,1/11/2017,1/4/2017,11/9/2016
BCO,Brink's Company,BCO.4Q16,3200,3205,4Q16,2016/4F,14.5,02/08/2017,3,12/31/2016,12/31/2015,6/30/2016,9/30/2016,0.73,0.72,0.73,42.93,44.79,11.25,2.518,41.25,2.546,43.2,2.438,41.75,46.244385,3.4730554,3.5971165,24.227356,5.84352,0.19284487,2.3,2.7,1.5,0.954305853,1.214485924,1.550558571,46.0,40.0,1.67,1.67,0.57735026,3562,2977,2891.435,0.061,0.059,0.058,-0.001,22.017,-2.370,3.404,-0.160518988,0.552713864,-0.214230619,-0.384540597,0.00,6.48,-13.04,1.149,-0.374,-18.82551937,2/7/2017,2/13/2017,2/1/2017,2/10/2016,1/11/2017,1/4/2017,11/9/2016
GBX,"Greenbrier Companies, Inc.",GBX.4Q16,1200,1220,4Q16,2017/1F,17.7,01/06/2017,5,12/31/2016,12/31/2015,6/30/2016,9/30/2016,0.76,0.83,1.00,27.38,42.64,17.71,2.874,41.55,2.874,41.55,3.346,36.59,71.213356,13.555611,2.0884514,18.988968,4.512155,2.1897078,20.7,22.9,23.7,30.77834413,30.89587299,31.79370962,35.8,33.0,1.94,1.72,0.6346478,2605.27,2679.52,2055.753,0.069,0.069,0.091,0.022,52.224,9.043,-0.101,-0.093645986,-0.12512679,-0.003804031,-0.03193605,0.22,-13.96,-7.69,-7.871,-23.899,-21.09251632,1/5/2017,1/11/2017,12/30/2016,1/8/2016,12/9/2016,12/2/2016,10/7/2016
FTK,"Flotek Industries, Inc.",FTK.4Q16,3100,3110,4Q16,2016/4F,14.1,02/09/2017,4,12/31/2016,12/31/2015,6/30/2016,9/30/2016,-0.04,-0.04,-0.02,-17.92,-28.86,-35.42,0.269,9.39,0.322,10.27,0.244,11.51,54.00641,-10.773235,5.54986,25.452496,5.6045175,0.4062295,15.1,8.1,17.8,23.64839209,25.79029586,22.23023814,16.0,14.8,1.17,1.63,0.28867513,449.157,334.359,296.3,0.029,0.031,0.021,-0.010,28.554,-16.378,5.144,0.867346845,-0.156369262,-0.083050764,0.063793916,-0.46,55.79,-7.81,0.000,66.667,-34.03197546,2/8/2017,2/14/2017,2/2/2017,2/11/2016,1/12/2017,1/5/2017,11/10/2016
KATE,Kate Spade & Co,KATE.4Q16,3500,3525,4Q16,2016/4F,57.8,02/16/2017,4,12/31/2016,12/31/2015,6/30/2016,9/30/2016,0.34,0.35,0.35,5.06,-9.41,8.99,0.839,18.67,0.841,18.76,0.824,16.97,4.759109,10.548031,3.303969,19.176638,5.6004763,1.6563654,3.3,0.7,3.2,7.997588019,3.460407935,4.755789847,19.4,18.9,1.53,1.33,0.49934167,1138.6,1215.41,1376.3992,0.045,0.045,0.049,0.004,-14.418,4.948,1.648,3.905890793,0.019648158,1.311169137,0.681652949,0.20,3.18,-2.53,-3.145,-4.730,20.88522747,2/15/2017,2/21/2017,2/9/2017,2/18/2016,1/19/2017,1/12/2017,11/17/2016
BID,Sotheby's,BID.4Q16,3400,3450,4Q16,2016/4F,21.5,02/27/2017,1,12/31/2016,12/31/2015,6/30/2016,9/30/2016,1.15,1.17,1.18,54.74,45.47,4.84,2.018,39.86,1.960,40.99,1.945,38.92,73.97803,5.318606,2.7060986,18.98532,6.705439,3.7872195,23.0,13.2,27.3,16.18448594,18.63669976,17.05991181,45.6,36.5,1.40,2.00,0.5477226,938.053,961.494,768.95,0.051,0.048,0.050,0.002,54.993,-1.387,-1.081,0.74673308,-0.15553927,-0.131579832,-0.051314794,-0.60,11.25,-19.96,-1.705,-1.983,-18.0270198,2/24/2017,3/2/2017,2/20/2017,2/29/2016,1/30/2017,1/23/2017,11/28/2016
CSX,CSX Corporation,CSX.4Q16,4600,4620,4Q16,2016/4F,291.3,01/18/2017,3,12/31/2016,12/31/2015,6/30/2016,9/30/2016,0.50,0.47,0.47,38.46,37.77,17.80,1.994,35.93,2.021,38.04,1.931,31.07,63.750553,22.433222,4.2763233,23.23513,6.634629,0.99232197,3.0,2.2,2.5,1.52652222,1.913517815,1.570656935,36.8,32.4,1.70,1.67,0.61025715,12700,11800,10865.571,0.055,0.053,0.062,0.009,40.515,15.799,3.284,0.332610778,0.196292886,-0.202243006,-0.028099526,0.03,-3.34,-11.87,4.416,4.649,-14.44432283,1/17/2017,1/23/2017,1/11/2017,1/20/2016,12/21/2016,12/14/2016,10/19/2016
