ticker_symbol,co_name,unique_earnings_code,factset_sector_num,factset_ind_num,calendar_qtr,fiscal_qtr,adtv_prev_month,report_date,rtn_t+3,eps_est,eps_actual,surp_amt,rev_surp%,report_day_of week,t-1,t+3,rtn_t+3_check,mkt_t+3_rtn,rel_t+3_rtn,num_ests_qtr_end,t-7,t-7_high_est,t-7_low_est,est_spread,spread_adj_surp
FOSL,"Fossil Group, Inc.",FOSL.4Q17,1400,1445,4Q17,2017/4F,15.8,02/14/2018,51.2,0.40,0.64,0.24,3.5,3,2/13/2018,2/19/2018,60.6,2.7,57.9,5,2/7/2018,0.47,0.33,0.14,1.714
VIRT,"Virtu Financial, Inc. Class A",VIRT.4Q17,4800,4840,4Q17,2017/4F,10.0,02/08/2018,41.6,0.12,0.17,0.05,66.3,4,2/7/2018,2/13/2018,41.6,-0.7,42.4,7,2/1/2018,0.15,0.09,0.05,0.991
AAXN,Axon Enterprise Inc,AAXN.4Q17,1300,1330,4Q17,2017/4F,17.1,02/28/2018,40.5,-0.03,-0.04,-0.01,6.9,3,2/27/2018,3/5/2018,40.5,-0.7,41.2,8,2/21/2018,-0.01,-0.05,0.04,-0.321
INFN,Infinera Corporation,INFN.4Q17,1300,1320,4Q17,2017/4F,12.3,02/08/2018,36.8,-0.13,-0.12,0.01,2.9,4,2/7/2018,2/13/2018,36.8,-0.7,37.5,16,2/1/2018,-0.12,-0.14,0.02,0.662
GES,"Guess?, Inc.",GES.4Q17,2400,2440,4Q17,2017/4F,21.0,03/22/2018,34.6,0.54,0.62,0.08,4.8,4,3/21/2018,3/27/2018,34.6,-3.7,38.3,5,3/15/2018,0.55,0.51,0.04,2.100
SFLY,"Shutterfly, Inc.",SFLY.4Q17,3200,3205,4Q17,2017/4F,29.3,01/31/2018,34.4,2.87,3.10,0.24,6.7,3,1/30/2018,2/5/2018,34.4,-6.1,40.5,7,1/24/2018,3.01,2.77,0.24,0.980
LITE,"Lumentum Holdings, Inc.",LITE.4Q17,1300,1320,4Q17,2018/2F,117.0,02/06/2018,34.3,1.13,1.67,0.54,13.3,2,2/5/2018,2/9/2018,34.3,-1.1,35.4,15,1/30/2018,1.25,1.03,0.22,2.455
SNAP,"Snap, Inc. Class A",SNAP.4Q17,3300,3320,4Q17,2017/4F,331.7,02/07/2018,32.5,-0.33,-0.28,0.05,12.9,3,2/6/2018,2/12/2018,32.5,-1.4,33.9,29,1/31/2018,-0.26,-0.51,0.25,0.184
SEDG,"SolarEdge Technologies, Inc.",SEDG.4Q17,1300,1305,4Q17,2017/4F,25.1,02/15/2018,29.5,0.57,0.42,-0.15,4.8,4,2/14/2018,2/20/2018,28.6,0.6,28.0,9,2/8/2018,0.71,0.50,0.21,-0.712
CSRA,"CSRA, Inc.",CSRA.4Q17,3300,3308,4Q17,2017/3F,32.7,02/08/2018,29.4,0.48,0.56,0.08,2.8,4,2/7/2018,2/13/2018,29.4,-0.7,30.2,10,2/1/2018,0.55,0.43,0.12,0.683
DIN,"Dine Brands Global, Inc.",DIN.4Q17,3400,3435,4Q17,2017/4F,14.2,02/20/2018,26.2,0.69,0.74,0.05,0.5,2,2/19/2018,2/23/2018,26.2,0.5,25.7,5,2/13/2018,0.80,0.61,0.19,0.242
NTNX,"Nutanix, Inc. Class A",NTNX.4Q17,3300,3310,4Q17,2018/2F,120.6,03/02/2018,26.1,-0.20,-0.14,0.06,1.2,5,3/1/2018,3/7/2018,26.1,2.0,24.1,19,2/23/2018,-0.17,-0.22,0.05,1.274
GRUB,"GrubHub, Inc.",GRUB.4Q17,3500,3550,4Q17,2017/4F,86.9,02/08/2018,25.8,0.31,0.37,0.06,1.7,4,2/7/2018,2/13/2018,25.8,-0.7,26.6,21,2/1/2018,0.39,0.26,0.13,0.451
VECO,Veeco Instruments Inc.,VECO.4Q17,1300,1355,4Q17,2017/4F,13.7,02/13/2018,25.2,0.09,0.19,0.10,-0.3,2,2/12/2018,2/16/2018,25.2,2.9,22.2,7,2/6/2018,0.10,0.08,0.02,4.311
TWLO,"Twilio, Inc. Class A",TWLO.4Q17,3300,3310,4Q17,2017/4F,49.0,02/14/2018,24.8,-0.06,-0.03,0.03,11.1,3,2/13/2018,2/19/2018,25.2,2.7,22.5,12,2/7/2018,-0.05,-0.06,0.01,2.818
CMPR,Cimpress N.V.,CMPR.4Q17,3200,3215,4Q17,2018/2F,24.2,02/01/2018,24.6,0.87,0.93,0.06,10.1,4,1/31/2018,2/6/2018,24.6,-4.6,29.1,2,1/25/2018,0.95,0.76,0.19,0.316
WLL,Whiting Petroleum Corporation,WLL.4Q17,2100,2105,4Q17,2017/4F,130.8,02/22/2018,24.5,-0.30,-0.17,0.13,12.9,4,2/21/2018,2/27/2018,24.5,1.5,23.1,32,2/15/2018,-0.04,-0.65,0.61,0.205
VSTO,Vista Outdoor Inc,VSTO.4Q17,1400,1435,4Q17,2017/3F,21.8,02/08/2018,24.5,0.07,0.09,0.02,2.5,4,2/7/2018,2/13/2018,24.5,-0.7,25.2,7,2/1/2018,0.12,0.01,0.11,0.195
TWTR,"Twitter, Inc.",TWTR.4Q17,3300,3320,4Q17,2017/4F,392.3,02/08/2018,24.3,0.14,0.19,0.05,6.6,4,2/7/2018,2/13/2018,24.3,-0.7,25.0,32,2/1/2018,0.23,0.08,0.15,0.342
VEEV,Veeva Systems Inc Class A,VEEV.4Q17,3300,3310,4Q17,2017/4F,67.6,02/28/2018,24.1,0.21,0.23,0.02,2.5,3,2/27/2018,3/5/2018,24.1,-0.7,24.8,13,2/21/2018,0.22,0.21,0.01,1.538
DDS,"Dillard's, Inc. Class A",DDS.4Q17,3500,3515,4Q17,2017/4F,34.6,02/27/2018,24.0,1.82,2.82,1.00,2.9,2,2/26/2018,3/2/2018,24.0,-3.1,27.1,5,2/20/2018,2.00,1.58,0.42,2.386
XON,Intrexon Corporation,XON.4Q17,2300,2320,4Q17,2017/4F,21.1,03/02/2018,22.9,-0.32,0.11,0.43,60.0,5,3/1/2018,3/7/2018,22.9,2.0,20.9,6,2/23/2018,-0.24,-0.37,0.13,3.323
SYNT,"Syntel, incorporated",SYNT.4Q17,3300,3308,4Q17,2017/4F,12.5,02/15/2018,22.9,0.39,0.62,0.23,12.5,4,2/14/2018,2/20/2018,23.5,0.6,22.9,11,2/8/2018,0.42,0.37,0.05,4.545
FN,Fabrinet,FN.4Q17,1300,1310,4Q17,2018/2F,15.9,02/06/2018,22.8,0.70,0.72,0.02,2.3,2,2/5/2018,2/9/2018,22.8,-1.1,23.9,6,1/30/2018,0.70,0.69,0.01,2.200
UAA,"Under Armour, Inc. Class A",UAA.4Q17,2400,2440,4Q17,2017/4F,96.4,02/13/2018,22.0,0.00,0.00,0.00,4.0,2,2/12/2018,2/16/2018,22.0,2.9,19.1,32,2/6/2018,0.03,-0.02,0.05,-0.038
QUOT,Quotient Technology Incorporated,QUOT.4Q17,3200,3210,4Q17,2017/4F,10.2,02/14/2018,21.5,0.08,0.12,0.04,0.7,3,2/13/2018,2/19/2018,20.5,2.7,17.9,5,2/7/2018,0.10,0.05,0.05,0.822
INVA,"Innoviva, Inc.",INVA.4Q17,2300,2310,4Q17,2017/4F,12.3,02/09/2018,20.9,0.42,0.50,0.09,3.1,5,2/8/2018,2/14/2018,20.9,4.5,16.4,2,2/2/2018,0.46,0.37,0.09,0.944
ARRY,Array BioPharma Inc.,ARRY.4Q17,2300,2320,4Q17,2018/2F,32.9,02/06/2018,20.9,-0.23,-0.17,0.06,57.5,2,2/5/2018,2/9/2018,20.9,-1.1,22.0,9,1/30/2018,-0.16,-0.33,0.17,0.346
SABR,Sabre Corp.,SABR.4Q17,3300,3310,4Q17,2017/4F,36.4,02/14/2018,20.8,0.28,0.32,0.04,2.1,3,2/13/2018,2/19/2018,21.6,2.7,18.9,10,2/7/2018,0.32,0.24,0.08,0.526
ETSY,"Etsy, Inc.",ETSY.4Q17,3200,3205,4Q17,2017/4F,34.7,02/28/2018,20.8,0.10,0.15,0.05,2.8,3,2/27/2018,3/5/2018,20.8,-0.7,21.5,10,2/21/2018,0.18,0.02,0.16,0.323
NFLX,"Netflix, Inc.",NFLX.4Q17,3400,3415,4Q17,2017/4F,"1,319.6",01/23/2018,20.7,0.41,0.41,0.00,0.4,2,1/22/2018,1/26/2018,20.7,1.3,19.4,38,1/16/2018,0.45,0.37,0.08,0.006
PRGS,Progress Software Corporation,PRGS.4Q17,3300,3310,4Q17,2017/4F,13.8,01/11/2018,20.2,0.60,0.67,0.07,1.5,4,1/10/2018,1/16/2018,19.9,1.0,18.9,4,1/4/2018,0.62,0.59,0.03,2.250
NKTR,Nektar Therapeutics,NKTR.4Q17,2300,2320,4Q17,2017/4F,88.9,03/02/2018,19.8,-0.35,-0.21,0.14,158.3,5,3/1/2018,3/7/2018,19.8,2.0,17.8,7,2/23/2018,-0.26,-0.43,0.17,0.836
SRPT,"Sarepta Therapeutics, Inc.",SRPT.4Q17,2300,2320,4Q17,2017/4F,96.8,03/02/2018,19.7,-0.32,-0.37,-0.05,1.0,5,3/1/2018,3/7/2018,19.7,2.0,17.7,15,2/23/2018,-0.17,-0.56,0.39,-0.131
GWW,"W.W. Grainger, Inc.",GWW.4Q17,3250,3255,4Q17,2017/4F,214.0,01/24/2018,19.6,2.20,2.57,0.37,2.6,3,1/23/2018,1/29/2018,19.6,0.4,19.2,21,1/17/2018,2.36,2.04,0.32,1.140
CHGG,"Chegg, Inc.",CHGG.4Q17,3200,3205,4Q17,2017/4F,14.4,02/13/2018,19.6,0.13,0.15,0.02,4.1,2,2/12/2018,2/16/2018,19.6,2.9,16.7,10,2/6/2018,0.14,0.12,0.02,0.848
TWNK,"Hostess Brands, Inc. Class A",TWNK.4Q17,2400,2410,4Q17,2017/4F,19.0,03/01/2018,19.4,0.14,0.17,0.03,1.1,4,2/28/2018,3/6/2018,19.4,0.8,18.6,10,2/22/2018,0.16,0.12,0.04,0.687
CNDT,"Conduent, Inc.",CNDT.4Q17,3200,3205,4Q17,2017/4F,35.4,02/21/2018,19.0,0.24,0.31,0.07,0.6,3,2/20/2018,2/26/2018,19.0,2.3,16.7,8,2/14/2018,0.27,0.18,0.09,0.745
OCLR,"Oclaro, Inc.",OCLR.4Q17,1300,1310,4Q17,2018/2F,40.8,02/06/2018,18.8,0.12,0.14,0.02,0.4,2,2/5/2018,2/9/2018,18.8,-1.1,19.9,13,1/30/2018,0.13,0.11,0.02,1.003
FINL,"Finish Line, Inc. Class A",FINL.4Q17,3500,3525,4Q17,2017/3F,18.2,12/21/2017,18.7,-0.36,-0.26,0.10,4.9,4,12/20/2017,12/26/2017,20.5,0.1,20.5,1,12/14/2017,-0.32,-0.40,0.08,1.301
SMTC,Semtech Corporation,SMTC.4Q17,1300,1305,4Q17,2017/4F,19.4,03/15/2018,18.6,0.41,0.42,0.01,0.1,4,3/14/2018,3/20/2018,18.6,-1.1,19.7,8,3/8/2018,0.42,0.39,0.03,0.333
ALKS,Alkermes Plc,ALKS.4Q17,2300,2320,4Q17,2017/4F,47.7,02/14/2018,18.4,0.23,0.31,0.08,9.6,3,2/13/2018,2/19/2018,23.0,2.7,20.3,10,2/7/2018,0.44,0.10,0.34,0.221
RNG,"RingCentral, Inc. Class A",RNG.4Q17,3300,3310,4Q17,2017/4F,22.2,02/13/2018,18.3,0.06,0.07,0.01,2.5,2,2/12/2018,2/16/2018,18.3,2.9,15.4,15,2/6/2018,0.07,0.06,0.01,0.933
COTY,Coty Inc. Class A,COTY.4Q17,2400,2435,4Q17,2018/2F,90.1,02/08/2018,17.6,0.23,0.10,-0.13,6.2,4,2/7/2018,2/13/2018,17.6,-0.7,18.3,14,2/1/2018,0.26,0.20,0.06,-2.166
RMD,ResMed Inc.,RMD.4Q17,2300,2325,4Q17,2018/2F,49.5,01/23/2018,17.5,0.77,0.95,0.18,3.4,2,1/22/2018,1/26/2018,17.5,1.3,16.2,10,1/16/2018,0.81,0.71,0.10,1.900
FEYE,"FireEye, Inc.",FEYE.4Q17,3300,3308,4Q17,2017/4F,54.3,02/09/2018,17.4,-0.01,0.01,0.02,4.4,5,2/8/2018,2/14/2018,17.4,4.5,12.9,27,2/2/2018,0.00,-0.06,0.06,0.390
BUFF,Blue Buffalo Pet Products Inc,BUFF.4Q17,2400,2410,4Q17,2017/4F,44.7,02/23/2018,17.4,0.21,0.27,0.06,5.0,5,2/22/2018,2/28/2018,17.4,0.2,17.2,12,2/16/2018,0.22,0.20,0.02,2.936
MCRN,Milacron Holdings Corp.,MCRN.4Q17,1200,1210,4Q17,2017/4F,11.6,02/20/2018,17.0,0.39,0.59,0.20,7.2,2,2/19/2018,2/23/2018,17.0,0.5,16.4,6,2/13/2018,0.40,0.38,0.02,9.833
NBL,"Noble Energy, Inc.",NBL.4Q17,2100,2105,4Q17,2017/4F,123.7,02/20/2018,16.7,0.04,0.32,0.28,4.1,2,2/19/2018,2/23/2018,16.7,0.5,16.1,30,2/13/2018,0.13,-0.09,0.22,1.283
ZBRA,Zebra Technologies Corporation Class A,ZBRA.4Q17,1300,1345,4Q17,2017/4F,32.1,02/22/2018,16.6,2.12,2.33,0.21,4.2,4,2/21/2018,2/27/2018,16.6,1.5,15.2,11,2/15/2018,2.17,2.09,0.08,2.625
EVH,Evolent Health Inc Class A,EVH.4Q17,3200,3205,4Q17,2017/4F,25.9,02/28/2018,16.4,-0.04,-0.04,0.00,2.3,3,2/27/2018,3/5/2018,16.4,-0.7,17.2,13,2/21/2018,-0.02,-0.07,0.05,0.042
RSPP,"RSP Permian, Inc.",RSPP.4Q17,2100,2105,4Q17,2017/4F,68.0,02/28/2018,16.4,0.32,0.32,0.00,-1.8,3,2/27/2018,3/5/2018,16.4,-0.7,17.1,31,2/21/2018,0.40,0.14,0.26,0.006
CHK,Chesapeake Energy Corporation,CHK.4Q17,2100,2105,4Q17,2017/4F,97.0,02/22/2018,16.3,0.24,0.30,0.06,1.0,4,2/21/2018,2/27/2018,16.3,1.5,14.9,26,2/15/2018,0.35,0.11,0.24,0.242
GPOR,Gulfport Energy Corporation,GPOR.4Q17,2100,2105,4Q17,2017/4F,42.8,02/22/2018,16.3,0.39,0.45,0.06,-0.4,4,2/21/2018,2/27/2018,16.3,1.5,14.8,26,2/15/2018,0.54,0.26,0.28,0.212
TTD,"Trade Desk, Inc. Class A",TTD.4Q17,3200,3210,4Q17,2017/4F,61.5,02/23/2018,16.2,0.44,0.54,0.10,0.9,5,2/22/2018,2/28/2018,16.2,0.2,16.0,9,2/16/2018,0.55,0.37,0.18,0.577
CAR,"Avis Budget Group, Inc.",CAR.4Q17,4800,4830,4Q17,2017/4F,94.3,02/22/2018,16.1,0.22,0.45,0.23,1.1,4,2/21/2018,2/27/2018,16.1,1.5,14.7,11,2/15/2018,0.36,0.11,0.25,0.939
MULE,"MuleSoft, Inc. Class A",MULE.4Q17,3300,3310,4Q17,2017/4F,33.7,02/16/2018,15.9,-0.12,-0.12,0.00,6.2,5,2/15/2018,2/21/2018,17.5,-1.0,18.5,9,2/9/2018,-0.11,-0.13,0.02,0.000
KFY,Korn Ferry,KFY.4Q17,3200,3235,4Q17,2017/3F,14.8,03/07/2018,15.9,0.58,0.70,0.12,7.5,3,3/6/2018,3/12/2018,15.9,2.0,13.8,5,2/28/2018,0.60,0.57,0.03,3.844
CPLA,Capella Education Company,CPLA.4Q17,3400,3450,4Q17,2017/4F,10.8,03/02/2018,15.8,0.99,0.86,-0.13,-0.7,5,3/1/2018,3/7/2018,15.8,2.0,13.8,4,2/23/2018,1.05,0.90,0.15,-0.850
CIEN,Ciena Corporation,CIEN.4Q17,1300,1320,4Q17,2018/1F,65.2,03/06/2018,15.8,0.12,0.15,0.03,0.7,2,3/5/2018,3/9/2018,15.8,2.5,13.3,18,2/27/2018,0.15,0.09,0.06,0.493
RH,RH,RH.4Q17,3500,3540,4Q17,2017/4F,111.6,03/28/2018,15.7,1.56,1.69,0.13,-0.3,3,3/27/2018,4/2/2018,18.8,-1.2,19.9,21,3/21/2018,1.65,1.50,0.15,0.882
ADSK,"Autodesk, Inc.",ADSK.4Q17,3300,3310,4Q17,2017/4F,247.2,03/07/2018,15.4,-0.11,-0.09,0.02,1.7,3,3/6/2018,3/12/2018,15.4,2.0,13.4,22,2/28/2018,-0.09,-0.14,0.05,0.480
MTOR,"Meritor, Inc.",MTOR.4Q17,1200,1225,4Q17,2018/1F,35.7,01/31/2018,15.4,0.44,0.62,0.18,7.7,3,1/30/2018,2/5/2018,15.4,-6.1,21.5,10,1/24/2018,0.49,0.25,0.24,0.777
QLYS,"Qualys, Inc.",QLYS.4Q17,3300,3310,4Q17,2017/4F,16.4,02/13/2018,15.4,0.28,0.32,0.04,1.6,2,2/12/2018,2/16/2018,15.4,2.9,12.5,16,2/6/2018,0.29,0.27,0.02,1.906
ICUI,"ICU Medical, Inc.",ICUI.4Q17,2300,2325,4Q17,2017/4F,22.5,03/02/2018,15.1,1.04,2.98,1.94,10.9,5,3/1/2018,3/7/2018,15.1,2.0,13.0,3,2/23/2018,1.15,0.92,0.23,8.449
STRA,"Strategic Education, Inc.",STRA.4Q17,3400,3450,4Q17,2017/4F,11.1,03/02/2018,15.0,1.29,1.09,-0.20,-2.3,5,3/1/2018,3/7/2018,15.0,2.0,13.0,3,2/23/2018,1.30,1.28,0.02,-10.000
THC,Tenet Healthcare Corporation,THC.4Q17,3350,3360,4Q17,2017/4F,46.4,02/27/2018,15.0,1.26,1.40,0.14,2.3,2,2/26/2018,3/2/2018,15.0,-3.1,18.1,16,2/20/2018,1.52,1.05,0.47,0.298
NSP,"Insperity, Inc.",NSP.4Q17,3200,3235,4Q17,2017/4F,14.2,02/12/2018,14.8,0.45,0.55,0.11,1.6,1,2/9/2018,2/15/2018,14.8,4.2,10.6,5,2/5/2018,0.47,0.36,0.11,0.955
RRC,Range Resources Corporation,RRC.4Q17,2100,2105,4Q17,2017/4F,116.1,02/28/2018,14.8,0.16,0.22,0.06,-4.4,3,2/27/2018,3/5/2018,14.8,-0.7,15.5,28,2/21/2018,0.30,-0.02,0.32,0.194
BKE,"Buckle, Inc.",BKE.4Q17,3500,3525,4Q17,2017/4F,11.8,03/16/2018,14.8,0.75,0.87,0.12,0.0,5,3/15/2018,3/21/2018,14.8,-1.1,15.9,3,3/9/2018,0.75,0.67,0.08,1.504
AMBA,"Ambarella, Inc.",AMBA.4Q17,1300,1305,4Q17,2017/4F,52.3,03/02/2018,14.7,0.37,0.45,0.08,0.4,5,3/1/2018,3/7/2018,14.7,2.0,12.7,9,2/23/2018,0.40,0.36,0.04,2.000
GTLS,"Chart Industries, Inc.",GTLS.4Q17,1200,1210,4Q17,2017/4F,12.8,02/22/2018,14.4,0.31,0.46,0.15,8.5,4,2/21/2018,2/27/2018,14.4,1.5,13.0,10,2/15/2018,0.39,0.22,0.17,0.860
MTCH,"Match Group, Inc.",MTCH.4Q17,3300,3320,4Q17,2017/4F,45.8,02/07/2018,14.2,0.32,0.18,-0.14,4.4,3,2/6/2018,2/12/2018,14.2,-1.4,15.6,16,1/31/2018,0.41,0.26,0.15,-0.901
WIX,Wix.com Ltd.,WIX.4Q17,3300,3320,4Q17,2017/4F,38.8,02/14/2018,14.2,0.15,0.16,0.01,1.5,3,2/13/2018,2/19/2018,15.3,2.7,12.7,16,2/7/2018,0.29,0.09,0.20,0.028
XL,XL Group Ltd,XL.4Q17,4800,4860,4Q17,2017/4F,100.8,02/02/2018,14.2,0.38,0.45,0.07,14.0,5,2/1/2018,2/7/2018,14.2,-5.0,19.1,14,1/26/2018,0.65,-0.25,0.90,0.082
NTB,Bank of N.T. Butterfield & Son Limited (The),NTB.4Q17,4800,4810,4Q17,2017/4F,11.6,02/15/2018,14.1,0.77,0.72,-0.05,6.4,4,2/14/2018,2/20/2018,11.4,0.6,10.8,6,2/8/2018,0.78,0.74,0.04,-1.214
TNET,"TriNet Group, Inc.",TNET.4Q17,3300,3305,4Q17,2017/4F,14.5,02/28/2018,13.8,0.47,0.46,-0.01,2.9,3,2/27/2018,3/5/2018,13.8,-0.7,14.5,5,2/21/2018,0.56,0.36,0.20,-0.035
ICPT,"Intercept Pharmaceuticals, Inc.",ICPT.4Q17,2300,2310,4Q17,2017/4F,62.5,02/14/2018,13.8,-3.59,-4.43,-0.84,-4.6,3,2/13/2018,2/19/2018,14.5,2.7,11.9,19,2/7/2018,-2.93,-4.15,1.22,-0.690
SAIC,Science Applications International Corp.,SAIC.4Q17,3300,3308,4Q17,2017/4F,24.2,03/29/2018,13.7,0.70,1.16,0.46,6.4,4,3/28/2018,4/3/2018,12.9,0.4,12.5,7,3/22/2018,0.83,0.64,0.19,2.440
SYNH,"Syneos Health, Inc. Class A",SYNH.4Q17,3350,3370,4Q17,2017/4F,55.3,02/28/2018,13.4,0.56,0.70,0.14,-1.2,3,2/27/2018,3/5/2018,13.4,-0.7,14.1,12,2/21/2018,0.58,0.55,0.03,4.558
VIAV,Viavi Solutions Inc,VIAV.4Q17,1300,1315,4Q17,2018/2F,20.6,02/02/2018,13.4,0.07,0.09,0.02,8.6,5,2/1/2018,2/7/2018,13.4,-5.0,18.3,8,1/26/2018,0.08,0.06,0.02,1.000
HPE,Hewlett Packard Enterprise Co.,HPE.4Q17,1300,1340,4Q17,2018/1F,154.2,02/23/2018,13.3,0.22,0.34,0.12,8.6,5,2/22/2018,2/28/2018,13.3,0.2,13.1,23,2/16/2018,0.24,0.20,0.04,2.889
HAE,Haemonetics Corporation,HAE.4Q17,2300,2325,4Q17,2017/3F,23.3,02/06/2018,13.1,0.43,0.62,0.19,2.8,2,2/5/2018,2/9/2018,13.1,-1.1,14.3,8,1/30/2018,0.46,0.35,0.11,1.737
FOE,Ferro Corporation,FOE.4Q17,2200,2240,4Q17,2017/4F,12.8,03/01/2018,13.1,0.28,0.29,0.01,11.6,4,2/28/2018,3/6/2018,13.1,0.8,12.3,5,2/22/2018,0.30,0.27,0.03,0.200
MOS,Mosaic Company,MOS.4Q17,2200,2215,4Q17,2017/4F,105.1,02/20/2018,13.0,0.29,0.34,0.05,11.3,2,2/19/2018,2/23/2018,13.0,0.5,12.5,15,2/13/2018,0.41,0.17,0.24,0.229
VAR,"Varian Medical Systems, Inc.",VAR.4Q17,2300,2325,4Q17,2018/1F,78.0,01/25/2018,13.0,0.93,1.06,0.13,6.9,4,1/24/2018,1/30/2018,13.0,-0.6,13.6,9,1/18/2018,1.02,0.80,0.22,0.601
NRG,"NRG Energy, Inc.",NRG.4Q17,4700,4705,4Q17,2017/4F,144.1,03/01/2018,13.0,0.33,-0.04,-0.37,-15.6,4,2/28/2018,3/6/2018,13.0,0.8,12.2,5,2/22/2018,0.70,-0.08,0.78,-0.472
KEYS,Keysight Technologies Inc,KEYS.4Q17,1300,1315,4Q17,2018/1F,30.6,03/02/2018,12.9,0.38,0.51,0.13,6.0,5,3/1/2018,3/7/2018,12.9,2.0,10.9,7,2/23/2018,0.41,0.36,0.05,2.513
SPLK,Splunk Inc.,SPLK.4Q17,3300,3308,4Q17,2017/4F,137.6,03/02/2018,12.8,0.33,0.37,0.04,7.4,5,3/1/2018,3/7/2018,12.8,2.0,10.8,39,2/23/2018,0.42,0.29,0.13,0.308
PLNT,"Planet Fitness, Inc. Class A",PLNT.4Q17,3400,3450,4Q17,2017/4F,28.5,02/23/2018,12.8,0.23,0.24,0.01,2.2,5,2/22/2018,2/28/2018,12.8,0.2,12.6,13,2/16/2018,0.28,0.22,0.06,0.090
LULU,Lululemon Athletica Inc,LULU.4Q17,3500,3525,4Q17,2017/4F,124.5,03/28/2018,12.7,1.27,1.33,0.06,1.8,3,3/27/2018,4/2/2018,10.9,-1.2,12.0,31,3/21/2018,1.30,1.22,0.08,0.793
TDOC,"Teladoc Health, Inc.",TDOC.4Q17,3350,3360,4Q17,2017/4F,32.8,02/28/2018,12.5,-0.50,-0.76,-0.26,1.3,3,2/27/2018,3/5/2018,12.5,-0.7,13.2,13,2/21/2018,-0.18,-0.68,0.50,-0.525
ILG,"ILG, Inc.",ILG.4Q17,3400,3440,4Q17,2017/4F,35.2,03/01/2018,12.5,0.26,0.24,-0.02,3.0,4,2/28/2018,3/6/2018,12.5,0.8,11.7,5,2/22/2018,0.28,0.24,0.04,-0.448
BJRI,"BJ's Restaurants, Inc.",BJRI.4Q17,3400,3435,4Q17,2017/4F,14.3,02/23/2018,12.4,0.32,0.37,0.05,0.7,5,2/22/2018,2/28/2018,12.4,0.2,12.2,13,2/16/2018,0.36,0.27,0.09,0.564
PE,"Parsley Energy, Inc. Class A",PE.4Q17,2100,2105,4Q17,2017/4F,116.9,02/22/2018,12.4,0.17,0.30,0.13,4.7,4,2/21/2018,2/27/2018,12.4,1.5,10.9,30,2/15/2018,0.25,0.08,0.17,0.753
FCN,"FTI Consulting, Inc.",FCN.4Q17,3200,3205,4Q17,2017/4F,13.8,02/22/2018,12.3,0.50,0.78,0.28,3.4,4,2/21/2018,2/27/2018,12.3,1.5,10.9,4,2/15/2018,0.57,0.38,0.19,1.464
NGVT,Ingevity Corporation,NGVT.4Q17,2200,2205,4Q17,2017/4F,18.1,02/21/2018,12.3,0.36,0.45,0.09,6.7,3,2/20/2018,2/26/2018,12.3,2.3,10.0,7,2/14/2018,0.43,0.29,0.14,0.612
HUBS,"HubSpot, Inc.",HUBS.4Q17,3300,3308,4Q17,2017/4F,45.9,02/14/2018,12.3,0.07,0.12,0.05,4.6,3,2/13/2018,2/19/2018,9.0,2.7,6.4,19,2/7/2018,0.08,0.05,0.03,1.706
MNTA,"Momenta Pharmaceuticals, Inc.",MNTA.4Q17,2300,2320,4Q17,2017/4F,11.7,02/21/2018,12.2,0.01,0.18,0.17,-3.0,3,2/20/2018,2/26/2018,12.2,2.3,10.0,5,2/14/2018,0.24,-0.43,0.67,0.251
HII,"Huntington Ingalls Industries, Inc.",HII.4Q17,1300,1330,4Q17,2017/4F,64.6,02/15/2018,12.2,2.92,2.64,-0.28,2.9,4,2/14/2018,2/20/2018,10.2,0.6,9.6,10,2/8/2018,3.43,2.49,0.94,-0.297
SWN,Southwestern Energy Company,SWN.4Q17,2100,2105,4Q17,2017/4F,98.5,03/02/2018,12.1,0.09,0.12,0.03,-0.9,5,3/1/2018,3/7/2018,12.1,2.0,10.1,31,2/23/2018,0.24,0.01,0.23,0.116
SSTK,"Shutterstock, Inc.",SSTK.4Q17,3300,3320,4Q17,2017/4F,11.6,02/22/2018,12.1,0.34,0.30,-0.04,5.6,4,2/21/2018,2/27/2018,12.1,1.5,10.7,5,2/15/2018,0.39,0.25,0.14,-0.268
