ticker_symbol,co_name,unique_earnings_code,factset_sector_num,factset_ind_num,calendar_qtr,fiscal_qtr,adtv_prev_month,report_date,rtn_t+3,eps_est,eps_actual,surp_amt,rev_surp%,report_day_of week,t-1,t+3,rtn_t+3_check,mkt_t+3_rtn,rel_t+3_rtn,num_ests_qtr_end,t-7,t-7_high_est,t-7_low_est,est_spread,spread_adj_surp
BHC,Bausch Health Companies Inc.,BHC.1Q17,2300,2310,1Q17,2017/1F,259.3,05/09/2017,40.0,0.87,0.86,-0.01,-3.5,2,5/8/2017,5/12/2017,40.0,-0.4,40.4,16,5/2/2017,1.29,0.38,0.91,-0.010
AAOI,"Applied Optoelectronics, Inc.",AAOI.1Q17,1300,1320,1Q17,2017/1F,45.2,05/05/2017,38.8,0.98,1.10,0.12,1.3,5,5/4/2017,5/10/2017,38.8,0.5,38.3,6,4/28/2017,1.02,0.80,0.22,0.561
CRC,California Resources Corp,CRC.1Q17,2100,2105,1Q17,2017/1F,29.8,05/05/2017,35.7,-1.24,-1.02,0.22,6.0,5,5/4/2017,5/10/2017,35.7,0.5,35.3,7,4/28/2017,-0.93,-1.77,0.84,0.264
TGI,"Triumph Group, Inc.",TGI.1Q17,1300,1330,1Q17,2016/4F,21.7,05/24/2017,34.6,1.46,3.09,1.63,-0.4,3,5/23/2017,5/29/2017,37.1,0.7,36.4,12,5/17/2017,1.76,1.25,0.51,3.189
NVDA,NVIDIA Corporation,NVDA.1Q17,1300,1305,1Q17,2017/1F,"1,820.7",05/10/2017,30.5,0.66,0.79,0.13,1.4,3,5/9/2017,5/15/2017,30.5,0.2,30.3,25,5/3/2017,0.73,0.55,0.18,0.700
GIII,"G-III Apparel Group, Ltd.",GIII.1Q17,2400,2440,1Q17,2017/1F,22.7,06/06/2017,29.9,-0.40,-0.18,0.22,6.3,2,6/5/2017,6/9/2017,29.9,0.0,30.0,7,5/30/2017,-0.32,-0.45,0.13,1.667
TDOC,"Teladoc Health, Inc.",TDOC.1Q17,3350,3360,1Q17,2017/1F,18.5,05/09/2017,28.9,-0.34,-0.30,0.04,1.6,2,5/8/2017,5/12/2017,28.9,-0.4,29.3,11,5/2/2017,-0.33,-0.36,0.03,1.242
SYNH,"Syneos Health, Inc. Class A",SYNH.1Q17,3350,3370,1Q17,2017/1F,33.1,05/10/2017,28.5,0.59,0.60,0.01,0.6,3,5/9/2017,5/15/2017,28.5,0.2,28.3,11,5/3/2017,0.62,0.58,0.04,0.159
OLED,Universal Display Corporation,OLED.1Q17,1300,1310,1Q17,2017/1F,50.5,05/05/2017,28.0,0.00,0.22,0.22,64.6,5,5/4/2017,5/10/2017,28.0,0.5,27.5,7,4/28/2017,0.02,-0.05,0.07,3.196
GRUB,"GrubHub, Inc.",GRUB.1Q17,3500,3550,1Q17,2017/1F,77.1,04/27/2017,25.9,0.24,0.29,0.05,2.0,4,4/26/2017,5/2/2017,25.9,0.0,25.9,22,4/20/2017,0.26,0.22,0.04,1.198
ASNA,"Ascena Retail Group, Inc.",ASNA.1Q17,3500,3525,1Q17,2017/3F,17.8,06/09/2017,25.6,0.06,0.05,-0.01,0.1,5,6/8/2017,6/14/2017,25.6,0.2,25.4,11,6/2/2017,0.12,0.04,0.08,-0.181
DECK,Deckers Outdoor Corporation,DECK.1Q17,2400,2440,1Q17,2016/4F,65.1,05/26/2017,25.5,-0.06,0.11,0.17,3.3,5,5/25/2017,5/31/2017,22.6,-0.2,22.8,15,5/19/2017,0.00,-0.10,0.10,1.708
ENDP,Endo International Plc,ENDP.1Q17,2300,2310,1Q17,2017/1F,115.9,05/09/2017,25.1,1.10,1.23,0.13,1.7,2,5/8/2017,5/12/2017,25.1,-0.4,25.5,20,5/2/2017,1.19,0.97,0.22,0.588
RRGB,"Red Robin Gourmet Burgers, Inc.",RRGB.1Q17,3400,3435,1Q17,2017/1F,16.8,05/17/2017,25.0,0.57,0.89,0.32,0.5,3,5/16/2017,5/22/2017,25.0,-0.3,25.3,10,5/10/2017,0.80,0.50,0.30,1.057
XON,Intrexon Corporation,XON.1Q17,2300,2320,1Q17,2017/1F,28.4,05/11/2017,24.0,-0.24,-0.26,-0.02,9.5,4,5/10/2017,5/16/2017,24.0,0.0,24.0,7,5/4/2017,-0.15,-0.28,0.13,-0.187
LZB,LaZBoy Incorporated,LZB.1Q17,1400,1420,1Q17,2016/4F,10.5,06/21/2017,22.9,0.46,0.57,0.11,2.9,3,6/20/2017,6/26/2017,22.9,0.1,22.8,4,6/14/2017,0.50,0.41,0.09,1.250
KTOS,"Kratos Defense & Security Solutions, Inc.",KTOS.1Q17,1300,1330,1Q17,2017/1F,13.2,05/05/2017,22.4,-0.11,-0.13,-0.02,5.2,5,5/4/2017,5/10/2017,22.4,0.5,22.0,6,4/28/2017,-0.04,-0.18,0.14,-0.143
PEGA,Pegasystems Inc.,PEGA.1Q17,3300,3308,1Q17,2017/1F,12.5,05/11/2017,22.0,0.23,0.39,0.16,12.1,4,5/10/2017,5/16/2017,22.0,0.0,22.0,4,5/4/2017,0.26,0.20,0.06,2.625
SINA,SINA Corp.,SINA.1Q17,3300,3320,1Q17,2017/1F,48.3,05/16/2017,21.5,0.17,0.50,0.33,5.9,2,5/15/2017,5/19/2017,21.5,-0.9,22.4,7,5/9/2017,0.38,-0.11,0.49,0.676
NPTN,NeoPhotonics Corporation,NPTN.1Q17,1300,1310,1Q17,2017/1F,12.5,05/05/2017,21.0,-0.22,-0.25,-0.03,2.3,5,5/4/2017,5/10/2017,21.0,0.5,20.6,7,4/28/2017,-0.20,-0.25,0.05,-0.629
BCR,"C. R. Bard, Inc.",BCR.1Q17,2300,2325,1Q17,2017/1F,136.9,04/24/2017,20.7,2.65,2.87,0.22,2.4,1,4/21/2017,4/27/2017,20.7,1.7,19.0,19,4/17/2017,2.70,2.62,0.08,2.767
GES,"Guess?, Inc.",GES.1Q17,2400,2440,1Q17,2017/1F,20.5,05/25/2017,20.6,-0.32,-0.24,0.08,2.1,4,5/24/2017,5/30/2017,17.2,0.3,17.0,7,5/18/2017,-0.30,-0.33,0.03,2.500
IRBT,iRobot Corporation,IRBT.1Q17,1400,1425,1Q17,2017/1F,32.8,04/26/2017,20.4,0.30,0.58,0.28,8.0,3,4/25/2017,5/1/2017,20.4,-0.1,20.5,8,4/19/2017,0.52,0.17,0.35,0.796
LITE,"Lumentum Holdings, Inc.",LITE.1Q17,1300,1320,1Q17,2017/3F,71.8,05/04/2017,20.1,0.49,0.49,0.00,-0.6,4,5/3/2017,5/9/2017,20.1,0.3,19.8,13,4/27/2017,0.52,0.47,0.05,-0.083
PSTG,"Pure Storage, Inc. Class A",PSTG.1Q17,1300,1345,1Q17,2017/1F,19.4,05/25/2017,19.7,-0.22,-0.14,0.08,3.7,4,5/24/2017,5/30/2017,20.8,0.3,20.5,25,5/18/2017,-0.20,-0.30,0.10,0.839
TWTR,"Twitter, Inc.",TWTR.1Q17,3300,3320,1Q17,2017/1F,289.7,04/26/2017,19.6,0.01,0.11,0.10,6.7,3,4/25/2017,5/1/2017,19.6,-0.1,19.7,33,4/19/2017,0.14,-0.04,0.18,0.535
SNBR,Sleep Number Corporation,SNBR.1Q17,1400,1420,1Q17,2017/1F,19.4,04/20/2017,19.6,0.45,0.56,0.11,6.4,4,4/19/2017,4/25/2017,19.6,2.2,17.3,8,4/13/2017,0.52,0.39,0.13,0.850
MELI,"MercadoLibre, Inc.",MELI.1Q17,3300,3320,1Q17,2017/1F,76.7,05/05/2017,19.3,0.85,1.10,0.25,11.1,5,5/4/2017,5/10/2017,19.3,0.5,18.9,10,4/28/2017,1.11,0.67,0.44,0.575
FEYE,"FireEye, Inc.",FEYE.1Q17,3300,3308,1Q17,2017/1F,71.1,05/03/2017,19.1,-0.26,-0.09,0.17,6.2,3,5/2/2017,5/8/2017,19.1,0.3,18.8,28,4/26/2017,-0.21,-0.27,0.06,2.944
NYT,New York Times Company Class A,NYT.1Q17,3400,3420,1Q17,2017/1F,10.9,05/03/2017,18.9,0.07,0.11,0.04,4.5,3,5/2/2017,5/8/2017,18.9,0.3,18.6,3,4/26/2017,0.08,0.06,0.02,2.167
W,"Wayfair, Inc. Class A",W.1Q17,3500,3550,1Q17,2017/1F,43.1,05/09/2017,18.7,-0.57,-0.48,0.09,2.7,2,5/8/2017,5/12/2017,18.7,-0.4,19.1,18,5/2/2017,-0.34,-0.62,0.28,0.319
ZNGA,Zynga Inc. Class A,ZNGA.1Q17,3300,3320,1Q17,2017/1F,26.1,05/05/2017,18.7,0.01,0.02,0.01,7.6,5,5/4/2017,5/10/2017,18.7,0.5,18.2,12,4/28/2017,0.02,0.01,0.01,1.022
AMRX,"Amneal Pharmaceuticals, Inc. Class A",AMRX.1Q17,2300,2305,1Q17,2017/1F,24.3,05/10/2017,18.3,0.12,0.11,-0.01,-4.5,3,5/9/2017,5/15/2017,18.3,0.2,18.1,12,5/3/2017,0.19,0.03,0.16,-0.091
MYGN,"Myriad Genetics, Inc.",MYGN.1Q17,2300,2320,1Q17,2017/3F,30.0,05/03/2017,17.9,0.23,0.27,0.04,4.1,3,5/2/2017,5/8/2017,17.9,0.3,17.6,14,4/26/2017,0.25,0.18,0.07,0.513
BBY,"Best Buy Co., Inc.",BBY.1Q17,3500,3535,1Q17,2017/1F,207.3,05/25/2017,17.8,0.40,0.60,0.20,3.0,4,5/24/2017,5/30/2017,17.6,0.3,17.3,24,5/18/2017,0.45,0.36,0.09,2.205
ADSK,"Autodesk, Inc.",ADSK.1Q17,3300,3310,1Q17,2017/1F,177.5,05/19/2017,17.4,-0.23,-0.16,0.07,3.3,5,5/18/2017,5/24/2017,17.4,1.7,15.7,16,5/12/2017,-0.13,-0.27,0.14,0.513
PANW,"Palo Alto Networks, Inc.",PANW.1Q17,1300,1352,1Q17,2017/3F,283.5,06/01/2017,17.3,0.55,0.61,0.06,4.8,4,5/31/2017,6/6/2017,17.3,0.8,16.6,37,5/25/2017,0.61,0.54,0.07,0.808
ARRY,Array BioPharma Inc.,ARRY.1Q17,2300,2320,1Q17,2017/3F,48.7,05/10/2017,17.1,-0.15,-0.21,-0.06,-13.1,3,5/9/2017,5/15/2017,17.1,0.2,16.9,8,5/3/2017,0.08,-0.31,0.39,-0.154
HLF,Herbalife Nutrition Ltd.,HLF.1Q17,3250,3260,1Q17,2017/1F,71.1,05/05/2017,16.7,0.45,0.62,0.17,5.1,5,5/4/2017,5/10/2017,16.7,0.5,16.2,4,4/28/2017,0.47,0.42,0.05,3.673
AAN,"Aaron's, Inc.",AAN.1Q17,4800,4830,1Q17,2017/1F,22.8,04/28/2017,16.2,0.66,0.80,0.14,1.6,5,4/27/2017,5/3/2017,16.2,-0.2,16.4,9,4/21/2017,0.75,0.54,0.21,0.661
THC,Tenet Healthcare Corporation,THC.1Q17,3350,3360,1Q17,2017/1F,62.5,05/02/2017,16.2,-0.52,-0.27,0.25,-0.6,2,5/1/2017,5/5/2017,16.2,0.4,15.8,17,4/25/2017,-0.44,-0.60,0.16,1.562
MACK,"Merrimack Pharmaceuticals, Inc.",MACK.1Q17,2300,2320,1Q17,2017/1F,10.9,05/10/2017,16.0,-1.80,-2.29,-0.50,-100.0,3,5/9/2017,5/15/2017,16.0,0.2,15.8,3,5/3/2017,-1.20,-2.20,1.00,-0.500
FSLR,"First Solar, Inc.",FSLR.1Q17,1300,1310,1Q17,2017/1F,95.6,05/03/2017,15.9,-0.13,0.25,0.38,28.7,3,5/2/2017,5/8/2017,15.9,0.3,15.7,16,4/26/2017,0.03,-0.25,0.28,1.362
EA,Electronic Arts Inc.,EA.1Q17,1400,1435,1Q17,2016/4F,239.9,05/10/2017,15.5,0.75,0.84,0.10,0.1,3,5/9/2017,5/15/2017,15.5,0.2,15.3,21,5/3/2017,0.81,0.70,0.11,0.871
SEDG,"SolarEdge Technologies, Inc.",SEDG.1Q17,1300,1305,1Q17,2017/1F,10.2,05/10/2017,15.5,0.26,0.32,0.06,0.7,3,5/9/2017,5/15/2017,15.5,0.2,15.3,12,5/3/2017,0.35,0.22,0.13,0.449
PRXL,PAREXEL International Corporation,PRXL.1Q17,3200,3205,1Q17,2017/3F,70.1,05/04/2017,15.4,0.73,0.74,0.01,0.0,4,5/3/2017,5/9/2017,15.4,0.3,15.1,15,4/27/2017,0.76,0.71,0.05,0.141
PBI,Pitney Bowes Inc.,PBI.1Q17,1200,1245,1Q17,2017/1F,66.1,05/02/2017,15.4,0.35,0.36,0.01,2.6,2,5/1/2017,5/5/2017,15.4,0.4,15.0,5,4/25/2017,0.36,0.33,0.03,0.467
NWL,Newell Brands Inc,NWL.1Q17,1200,1255,1Q17,2017/1F,192.6,05/08/2017,15.2,0.29,0.34,0.05,1.1,1,5/5/2017,5/11/2017,15.2,-0.2,15.5,18,5/1/2017,0.32,0.25,0.07,0.720
COHR,"Coherent, Inc.",COHR.1Q17,1300,1315,1Q17,2017/2F,61.4,05/10/2017,15.2,2.45,2.91,0.47,4.9,3,5/9/2017,5/15/2017,15.2,0.2,15.0,6,5/3/2017,2.66,2.17,0.49,0.949
KOS,Kosmos Energy Ltd.,KOS.1Q17,2100,2105,1Q17,2017/1F,17.7,05/08/2017,15.0,-0.15,-0.11,0.04,13.9,1,5/5/2017,5/11/2017,15.0,-0.2,15.2,9,5/1/2017,-0.02,-0.29,0.27,0.149
DDD,3D Systems Corporation,DDD.1Q17,1300,1315,1Q17,2017/1F,38.6,05/04/2017,14.9,0.10,0.06,-0.04,0.4,4,5/3/2017,5/9/2017,14.9,0.3,14.5,13,4/27/2017,0.13,0.08,0.05,-0.811
DYN,Dynegy Inc.,DYN.1Q17,4700,4705,1Q17,2017/1F,29.0,05/05/2017,14.8,-0.69,0.93,1.61,0.5,5,5/4/2017,5/10/2017,14.8,0.5,14.4,6,4/28/2017,-0.33,-1.01,0.68,2.373
TREE,"LendingTree, Inc.",TREE.1Q17,4800,4830,1Q17,2017/1F,18.8,04/27/2017,14.8,0.71,0.51,-0.20,6.0,4,4/26/2017,5/2/2017,14.8,0.0,14.8,11,4/20/2017,0.89,0.64,0.25,-0.803
CVI,"CVR Energy, Inc.",CVI.1Q17,2100,2120,1Q17,2017/1F,16.6,04/27/2017,14.6,-0.05,0.27,0.32,9.3,4,4/26/2017,5/2/2017,14.6,0.0,14.5,2,4/20/2017,-0.01,-0.08,0.07,4.500
MDC,"M.D.C. Holdings, Inc.",MDC.1Q17,1400,1415,1Q17,2017/1F,14.6,05/09/2017,14.2,0.31,0.37,0.06,14.8,2,5/8/2017,5/12/2017,14.2,-0.4,14.6,8,5/2/2017,0.35,0.24,0.11,0.567
NE,Noble Corporation plc,NE.1Q17,3100,3105,1Q17,2017/1F,82.4,05/05/2017,14.2,-0.19,-0.17,0.02,-1.1,5,5/4/2017,5/10/2017,14.2,0.5,13.7,31,4/28/2017,-0.10,-0.27,0.17,0.094
MCK,McKesson Corporation,MCK.1Q17,3250,3270,1Q17,2016/4F,280.2,05/19/2017,14.0,3.00,3.41,0.41,-1.6,5,5/18/2017,5/24/2017,14.0,1.7,12.3,14,5/12/2017,3.10,2.91,0.19,2.146
GNC,"GNC Holdings, Inc. Class A",GNC.1Q17,3500,3540,1Q17,2017/1F,32.7,04/18/2017,13.8,0.34,0.37,0.03,3.5,2,4/17/2017,4/21/2017,13.8,0.1,13.7,9,4/11/2017,0.42,0.21,0.21,0.140
VIAV,Viavi Solutions Inc,VIAV.1Q17,1300,1315,1Q17,2017/3F,38.4,05/03/2017,13.7,0.07,0.09,0.02,-0.4,3,5/2/2017,5/8/2017,13.7,0.3,13.4,10,4/26/2017,0.08,0.07,0.01,1.800
GPRE,Green Plains Inc.,GPRE.1Q17,2200,2210,1Q17,2017/1F,22.0,05/02/2017,13.7,-0.17,-0.09,0.08,-11.2,2,5/1/2017,5/5/2017,13.7,0.4,13.3,7,4/25/2017,0.10,-0.34,0.44,0.188
HRB,"H&R Block, Inc.",HRB.1Q17,3400,3450,1Q17,2016/4F,74.3,06/14/2017,13.4,3.53,3.76,0.23,0.6,3,6/13/2017,6/19/2017,13.4,0.4,13.0,10,6/7/2017,3.60,3.40,0.20,1.148
